,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,15.2893,,,,,,,,,,,,,14.0351,5600.0,,,,,,51.7857,8.0,7.0,87.5,3.0,5.0,75.0,
8,2008,15.2893,,,,,,,,,,,,,14.0351,6200.0,,,,,,51.7857,6.0,5.0,83.333,3.0,7.0,75.0,
9,2009,15.2893,,,,,,,,,,,,,14.0351,6400.0,,,,,,51.7857,7.0,6.0,85.714,3.0,6.0,75.0,
10,2010,15.2893,,,,,,,,,,,,,14.0351,7000.0,,,,,,51.7857,8.0,7.0,87.5,3.0,7.0,75.0,
11,2011,15.2893,,,,,,,,,,,,,14.0351,7800.0,,,,,,51.7857,8.0,7.0,87.5,3.0,5.0,75.0,
12,2012,16.5289,2.3256,,,,,,,,,,,,14.0351,8200.0,,,,,,51.7857,8.0,7.0,87.5,3.0,6.0,75.0,
13,2013,27.2727,20.155,,,,31.253,,,345.0,0.706,1.78,,,19.2982,8600.0,,,,0.0,,51.7857,8.0,7.0,87.5,3.0,7.0,75.0,
14,2014,36.3636,35.6589,,,,30.915,,102.602,310.0,0.768,3.558,,,19.2982,9100.0,,,,0.0,,55.3571,8.0,7.0,87.5,3.0,7.0,75.0,
15,2015,47.5207,45.7364,,,,31.61,,81.868,358.0,0.788,3.718,,,33.3333,10116.0,62.0,,,0.0,,66.0714,8.0,7.0,87.5,1.0,8.0,75.0,0.091
16,2016,,,,,,46.43,0.003,108.144,473.138,0.906,3.33,,,,11084.0,62.0,,,0.0,,,9.0,8.0,88.889,1.0,7.0,75.0,0.076
17,2017,51.6529,51.1628,,,,38.6,,131.707,518.29,1.036,3.819,,,33.3333,12154.0,62.0,,,0.0,,71.4286,8.0,7.0,87.5,1.0,7.0,75.0,0.084
18,2018,47.9339,44.186,,,,40.8,,142.118,507.156,1.897,4.0,,,33.3333,12823.0,61.0,,,0.0,,71.4286,8.0,7.0,87.5,1.0,7.0,75.0,0.091
19,2019,,,,,,,,,,,,,,,13900.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
