,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,22.2642,11.7241,,,,,,,,,,,,21.875,17200.0,,,,,24.0,50.0,15.0,14.0,93.333,3.0,,75.0,
6,2006,30.9434,24.8276,,10545.5,,,13.818,,,,,,,26.5625,17200.0,,,,,34.0,51.7857,15.0,14.0,93.333,3.0,12.0,75.0,
7,2007,32.8302,28.2759,,9818.18,,,13.182,,,,,18.0,,26.5625,17800.0,,,,,21.0,51.7857,14.0,13.0,92.857,3.0,18.0,75.0,
8,2008,33.5849,28.2759,,9000.0,,,12.0,,23649800.0,,,16.0,,29.6875,19610.0,,,,1.0,26.0,51.7857,15.0,14.0,93.333,3.0,13.0,75.0,
9,2009,44.5283,42.069,,8300.0,,12424.0,9.0,,23649800.0,,,4.0,,40.625,19329.0,19.25,14.77,,,21.0,55.3571,16.0,15.0,93.75,1.0,9.0,98.0,
10,2010,46.4151,43.4483,,8900.0,,13120.0,9.727,,20274200.0,,,3.0,0.03,40.625,19214.0,19.51,16.45,,,18.0,60.7143,16.0,15.0,93.75,1.0,8.0,75.0,
11,2011,46.4151,43.4483,,6300.0,,12142.0,9.0,,30361000.0,,,5.0,0.003,40.625,19267.0,19.6,16.6,,,25.3,60.7143,15.0,14.0,93.333,1.0,10.0,75.0,
12,2012,52.4528,46.8966,,25700.0,,28054.0,20.364,,24076300.0,,,7.0,0.024,53.125,25763.0,21.8,19.66,182.0,,27.7,66.0714,18.0,16.0,88.889,1.0,11.0,75.0,14.023
13,2013,54.3396,48.2759,,17900.0,,24967.0,13.545,,20387800.0,,,8.0,0.003,53.125,25815.0,21.6,,148.0,,32.3,71.4286,15.0,13.0,86.667,1.0,7.0,98.21,13.913
14,2014,62.2642,60.6897,,15600.0,0.176,23305.0,13.636,88591.297,26422900.0,,,2.0,0.0,57.8125,29232.0,21.5,,125.0,,31.4,71.4286,14.0,12.0,85.714,1.0,8.0,98.36,14.963
15,2015,63.0189,60.6897,,6800.0,0.105,15760.0,2.268,64944.5,26057000.0,,,2.0,0.046,60.9375,29362.0,21.7,,148.0,0.0,33.1,71.4286,14.0,13.0,92.857,1.0,8.0,75.0,14.752
16,2016,62.6415,60.6897,,9900.0,0.12,16784.0,2.449,82392.5,33612500.0,,,1.0,1.6,59.375,33975.0,23.3,,267.0,0.0,42.6,71.4286,13.0,12.0,92.308,1.0,8.0,82.0,0.88
17,2017,64.5283,64.1379,9713.89,10500.0,0.144,16721.0,1.814,72702.203,30387200.0,0.854,,1.0,0.049,59.375,34529.0,23.4,,214.0,1.0,44.9,71.4286,13.0,12.0,92.308,1.0,5.0,75.0,0.758
18,2018,62.6415,58.6207,9051.02,9700.0,0.129,15646.0,1.905,75006.703,71873296.0,1.324,,,,64.0625,33383.0,23.7,,234.0,0.0,43.0,71.4286,14.0,13.0,92.857,1.0,5.0,98.0,1.9529999999999998
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
