,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,7150.0,,,,,,51.7857,10.0,4.0,40.0,1.0,6.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,8050.0,,,,,,51.7857,10.0,4.0,40.0,1.0,5.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,7960.0,,,,,,51.7857,10.0,5.0,50.0,1.0,4.0,75.0,
10,2010,12.8099,,,,,,,,,,,,,3.5088,8900.0,,,,,,51.7857,10.0,5.0,50.0,1.0,5.0,75.0,
11,2011,12.8099,,,,,,,,,,,,,3.5088,9480.0,,,,,,51.7857,10.0,5.0,50.0,1.0,6.0,75.0,
12,2012,12.8099,,,,,,,,,,,,,3.5088,12330.0,,,,,,51.7857,10.0,5.0,50.0,1.0,4.0,72.5,
13,2013,12.8099,,,,,,,,,,,,,3.5088,14570.0,,,,,,51.7857,10.0,5.0,50.0,1.0,5.0,75.0,
14,2014,12.8099,,,,,,,,,,,,,3.5088,18210.0,,,,,,51.7857,10.0,5.0,50.0,1.0,5.0,75.0,
15,2015,16.5289,,,,,,,,,,,,,19.2982,18730.0,,,,,,51.7857,13.0,6.0,46.154,1.0,5.0,75.0,
16,2016,19.8347,,,,,,,,,,,,,33.3333,20075.0,52.0,33.0,,,,51.7857,13.0,6.0,46.154,1.0,4.0,75.0,
17,2017,21.0744,2.3256,,,,,,,,,,,,33.3333,22615.0,50.0,28.0,,,,51.7857,15.0,7.0,46.667,1.0,6.0,75.0,
18,2018,17.7686,2.3256,,,,,,,,,,,,19.2982,24500.0,,,,,,51.7857,15.0,6.0,40.0,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,25400.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
