,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,11.157,,,,,,,,,,,,,,,,,,,,48.2143,7.0,5.0,71.429,1.0,12.0,75.0,
8,2008,11.157,,,,,,,,,,,,,,,,,,,,48.2143,7.0,5.0,71.429,1.0,16.0,75.0,
9,2009,11.157,,,,,,,,,,,,,,,,,,,,48.2143,7.0,5.0,71.429,1.0,7.0,75.0,
10,2010,11.157,,,,,,,,,,,,,,,,,,,,48.2143,7.0,5.0,71.429,1.0,5.0,75.0,
11,2011,11.157,,,,,,,,,,,,,,,,,,,,48.2143,7.0,5.0,71.429,1.0,8.0,75.0,
12,2012,,,,,,,,,,,,,,,,,,,,,,7.0,5.0,71.429,1.0,5.0,75.0,
13,2013,11.157,,,,,,,,,,,,,,,,,,,,48.2143,7.0,5.0,71.43,1.0,9.0,75.0,
14,2014,11.157,,,,,,,,,,,,,,,,,,,,48.2143,7.0,5.0,71.429,1.0,6.0,75.0,
15,2015,14.0496,,,,,,,,,,,,,8.7719,3209.0,,,,,,51.7857,7.0,4.0,57.143,1.0,7.0,75.0,
16,2016,14.876,1.5504,,,,,,,,,,,,8.7719,3287.0,,,,,,51.7857,7.0,4.0,57.143,1.0,8.0,75.0,
17,2017,21.0744,10.8527,,,,,,,,,,,,14.0351,3380.0,,,,,,51.7857,7.0,4.0,57.143,1.0,8.0,75.0,
18,2018,21.0744,10.8527,,,,,,,,,,,,14.0351,3624.0,,,,,,51.7857,7.0,4.0,57.143,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
