,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,37.1901,27.907,2300.0,6700.0,0.309,,,21697.199,,,,,,28.0702,283000.0,,,,,83.0,67.8571,12.0,8.0,66.667,1.0,13.0,75.0,
7,2007,38.0165,31.7829,2000.0,6100.0,0.316,,,19286.4,,52.4,,,,28.0702,246000.0,,,,,54.0,62.5,13.0,9.0,69.231,1.0,11.0,,0.0
8,2008,44.6281,37.2093,1900.0,5400.0,0.301,,,17934.0,,47.0,,,2.0,33.3333,213000.0,,,,,49.0,73.2143,11.0,8.0,72.727,1.0,12.0,75.0,0.0
9,2009,41.7355,34.1085,1700.0,5000.0,0.33,,,15141.0,,39.0,,,,33.3333,176000.0,,,,,29.0,67.8571,13.0,10.0,76.923,1.0,15.0,75.0,0.0
10,2010,43.3884,37.2093,1600.0,5300.0,0.329,,,16100.0,,42.7,,,0.081,33.3333,164000.0,,,,,29.0,67.8571,14.0,11.0,78.571,1.0,10.0,75.0,0.0
11,2011,45.4545,39.5349,1600.0,5100.0,0.33,,,15500.0,,41.9,,,0.0,33.3333,164000.0,,,,,30.0,71.4286,15.0,12.0,80.0,1.0,9.0,75.0,0.0
12,2012,45.4545,41.0853,1700.0,5100.0,0.364,,,14000.0,,41.8,,0.0,0.0,38.5965,171000.0,,,,,30.1,62.5,16.0,13.0,81.25,1.0,10.0,75.0,
13,2013,51.6529,48.062,1500.0,4800.0,0.32,,,15000.0,25880.0,43.1,,0.0,0.0,43.8596,181000.0,25.7,,,0.0,37.7,67.8571,17.0,14.0,82.353,1.0,9.0,75.0,0.0
14,2014,51.6529,48.062,1500.0,4600.0,0.308,,,14940.0,25100.0,48.0,,0.0,0.0,43.8596,187000.0,26.0,,,0.0,45.6,67.8571,15.0,12.0,80.0,1.0,9.0,75.0,0.0
15,2015,49.5868,46.5116,1400.0,4700.0,0.322,,,14600.0,26100.0,56.1,,,0.022,43.8596,199000.0,22.0,,,0.0,18.4,62.5,15.0,12.0,80.0,1.0,8.0,75.0,
16,2016,50.4132,46.5116,1300.0,4600.0,0.324,,,14200.0,26100.0,58.7,,,0.003,43.8596,201287.0,27.0,,,2.0,38.9,66.0714,15.0,12.0,80.0,1.0,7.0,75.0,
17,2017,59.0909,66.6667,1320.0,4440.0,0.209,4873.57,,21256.4,25700.0,57.5,1435.5,8.0,0.42,38.5965,202275.0,,,,1.0,40.6,62.5,14.0,11.0,78.571,1.0,8.0,75.0,
18,2018,66.5289,72.093,1270.0,4380.0,0.317,4792.77,,13800.0,23900.0,55.1,1357.7,7.0,0.002,54.386,198964.0,19.89,16.2,,,67.7,66.0714,14.0,11.0,78.571,1.0,9.0,75.0,
19,2019,,,,,,,,,,,,,,,190000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
