,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,,,,,,,,,,,,,8.7719,12013.0,,,,,,51.7857,9.0,7.0,77.778,1.0,4.0,75.0,
8,2008,14.0496,,,,,,,,,,,,,8.7719,13634.0,,,,,,51.7857,9.0,7.0,77.778,1.0,4.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,12045.0,,,,,,51.7857,9.0,7.0,77.78,1.0,4.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,13285.0,,,,,,51.7857,9.0,7.0,77.78,1.0,4.0,75.0,
11,2011,16.9421,5.4264,,,,,,,,,,,,8.7719,15168.0,,,,,,51.7857,9.0,7.0,77.778,1.0,4.0,75.0,
12,2012,16.9421,5.4264,,,,,,,,,,,,8.7719,15145.0,,,,,,51.7857,11.0,9.0,81.818,1.0,4.0,75.0,
13,2013,19.0083,5.4264,,,,,,,,,,,,17.5439,17277.0,,,,,,51.7857,11.0,9.0,81.818,1.0,4.0,75.0,
14,2014,19.0083,5.4264,,,,,,,,,,,,17.5439,18417.0,,,,,,51.7857,10.0,7.0,70.0,1.0,4.0,75.0,
15,2015,19.0083,5.4264,,,,,,,,,,,,17.5439,20746.0,,,,,,51.7857,10.0,7.0,70.0,1.0,4.0,75.0,
16,2016,19.0083,5.4264,,,,,,,,,,,,17.5439,19624.0,,,,,,51.7857,10.0,7.0,70.0,1.0,4.0,75.0,
17,2017,20.2479,5.4264,,,,,,,,,,,,22.807,20565.0,,,,,,51.7857,10.0,7.0,70.0,1.0,4.0,75.0,
18,2018,20.2479,5.4264,,,,,,,,,,,,22.807,21644.0,,,,,,51.7857,10.0,8.0,80.0,1.0,4.0,75.0,
19,2019,,,,,,,,,,,,,,,21948.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
