,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,18.595,19.3798,,,,222.3,,,,,,,,3.5088,3200.0,,,,,,32.1429,7.0,6.0,85.714,,,,
12,2012,23.1405,19.3798,,,,311.04,,,,,,,,3.5088,4619.0,,,,,,51.7857,8.0,6.0,75.0,1.0,10.0,75.0,
13,2013,23.5537,21.7054,,,,370.98,,,,,,,,3.5088,6337.0,,,,,,48.2143,8.0,6.0,75.0,1.0,7.0,75.0,
14,2014,26.4463,25.5814,,,,443.52,,,685.191,,,,,3.5088,9199.0,,,,,,51.7857,9.0,7.0,77.778,1.0,12.0,75.0,
15,2015,29.3388,26.3566,,,,454.3,,,836.614,,,,,14.0351,12691.0,32.0,,,,,51.7857,8.0,6.0,75.0,1.0,4.0,75.0,
16,2016,26.8595,21.7054,,,,620.48,,,1191.7,,,,,14.0351,17048.0,33.0,,,,,51.7857,8.0,6.0,75.0,1.0,8.0,75.0,
17,2017,30.1653,24.031,,,,895.8,,2553.33,1608.87,,,,,14.0351,25105.0,35.0,,,,,60.7143,8.0,5.0,62.5,1.0,5.0,75.0,
18,2018,33.8843,28.6822,,,,1265.9,,3578.33,2369.78,,,,,19.2982,35587.0,36.0,,,,,60.7143,9.0,7.0,77.778,1.0,12.0,75.0,
19,2019,,,,,,,,,,,,,,,44942.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
