,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,12.8099,,,,,,,,,,,,,14.0351,16100.0,,,,,,41.0714,8.0,7.0,87.5,3.0,,,
12,2012,14.0496,,,,,,,,,,,,,19.2982,16100.0,,,,,,41.0714,8.0,7.0,87.5,3.0,,,
13,2013,16.5289,,,,,,,,,,,,,19.2982,19500.0,,,,,,51.7857,8.0,7.0,87.5,3.0,5.0,75.0,
14,2014,17.7686,,,,,,,,,,,,,24.5614,18000.0,,,,,,51.7857,8.0,7.0,87.5,3.0,7.0,94.0,
15,2015,21.4876,6.9767,,,,,,,,,,,,24.5614,21400.0,,,,,,51.7857,9.0,8.0,88.889,3.0,6.0,75.0,
16,2016,28.0992,14.7287,,,,,,586.111,,,,,,35.0877,22700.0,,,,,1.9,51.7857,8.0,7.0,87.5,3.0,5.0,75.0,
17,2017,28.9256,14.7287,,,,,,580.556,,,,,,38.5965,23800.0,,,,,1.96,51.7857,8.0,7.0,87.5,3.0,6.0,75.0,
18,2018,30.9917,16.2791,,,,,,727.778,,,,,,43.8596,25300.0,38.0,,,,1.4,51.7857,8.0,7.0,87.5,3.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
