,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,19.4215,3.876,,,,,,,,,,,,17.5439,8044.0,,,,0.0,,57.1429,11.0,6.0,54.55,3.0,5.0,75.0,
6,2006,19.4215,3.876,,,,,,,,,,,,17.5439,8957.0,,,,0.0,,57.1429,13.0,7.0,53.85,1.0,8.0,75.0,
7,2007,,,,,,6100.0,15.778,23161.4,567200.0,26.095,,,,,25400.0,,,,5.0,100.0,,16.0,9.0,56.25,1.0,7.0,75.0,
8,2008,44.2149,36.4341,,,,9600.0,48.2,25801.699,629800.0,30.5,,,0.191,43.8596,29300.0,10.0,,,3.0,191.0,62.5,16.0,9.0,56.25,1.0,7.0,75.0,
9,2009,42.1488,32.5581,,,,8700.0,35.0,23888.9,621000.0,,,6.0,0.5,43.8596,28400.0,9.0,,,2.0,180.0,62.5,16.0,9.0,56.25,1.0,6.0,75.0,
10,2010,49.5868,46.5116,,,,10000.0,43.0,24722.199,630000.0,29.4,,6.0,0.083,43.8596,29700.0,9.0,,,1.0,189.0,62.5,12.0,9.0,75.0,1.0,8.0,75.0,
11,2011,55.7851,51.938,,,,9900.0,45.0,24722.199,617000.0,34.0,503520.0,1.0,0.075,54.386,31800.0,9.0,,452.0,,191.0,66.0714,12.0,9.0,75.0,1.0,6.0,75.0,
12,2012,57.8512,53.4884,,,,9600.0,51.0,25555.6,665000.0,32.0,725205.0,4.0,0.047,54.386,34000.0,9.0,,487.0,,173.0,71.4286,12.0,9.0,75.0,1.0,6.0,75.0,
13,2013,55.3719,55.814,5263.47,,,10200.0,51.0,27222.199,689000.0,136.0,690309.0,10.0,0.08,43.8596,36100.0,10.0,,649.0,,173.0,66.0714,16.0,13.0,81.25,1.0,12.0,75.0,
14,2014,53.3058,51.938,4721.05,,,9500.0,40.0,25000.0,1325000.0,187.0,560371.0,11.0,0.124,43.8596,35000.0,10.0,,567.0,5.0,198.0,66.0714,16.0,13.0,81.25,1.0,6.0,75.0,
15,2015,57.0248,56.5891,5695.03,,,10600.0,42.0,34918.5,1454100.0,129.0,564296.0,1.0,0.043,49.1228,34500.0,10.0,,563.0,1.0,165.0,66.0714,10.0,8.0,80.0,1.0,11.0,75.0,
16,2016,59.5041,61.2403,5111.92,,,10342.5,43.0,34606.699,1721800.0,73.6,435211.0,0.0,0.0,49.1228,30000.0,10.0,,492.0,0.0,142.0,66.0714,8.0,7.0,87.5,1.0,10.0,85.0,
17,2017,55.7851,54.2636,,,,8100.0,39.0,24444.4,1560100.0,53.0,345176.0,1.0,0.317,43.8596,25200.0,12.0,,443.0,3.0,153.0,71.4286,8.0,7.0,87.5,1.0,7.0,77.0,0.012
18,2018,51.2397,48.062,,,,8600.0,,26916.699,1543000.0,58.821,63880.102,0.0,0.0,43.8596,26800.0,13.0,,464.0,0.0,155.0,66.0714,6.0,5.0,83.333,1.0,10.0,100.0,
19,2019,,,,,,,,,,,,,,,27500.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
