,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,16.5289,6.9767,,,,,,,,,,,,3.5088,143000.0,,,,,,51.7857,14.0,13.0,92.857,1.0,8.0,75.0,
8,2008,26.0331,17.8295,,,,,,,,0.381,76.15,,,19.2982,274106.0,,,,,,51.7857,14.0,13.0,92.857,1.0,6.0,75.0,
9,2009,35.9504,29.4574,14101.6,15167.2,,,,,,0.55,91.748,,,29.8246,259700.0,27.5,21.7,,,,57.1429,12.0,11.0,91.667,1.0,7.0,75.0,
10,2010,38.843,33.3333,13152.895,14149.767,,,,,,2.049,72.388,,0.002,29.8246,93000.0,27.1,21.7,,,,60.7143,12.0,11.0,91.67,1.0,7.0,75.0,
11,2011,40.0826,34.1085,13802.445,14792.319,,,,,,2.034,38.619,,0.002,33.3333,95000.0,27.3,22.6,,,,60.7143,11.0,9.0,81.82,1.0,8.0,75.0,
12,2012,51.2397,52.7132,13923.61,14878.779,0.261,15561.806,,56790.096,,0.204,67.84,4.0,0.026,38.5965,101000.0,27.5,22.3,,,31.71,60.7143,12.0,11.0,91.67,1.0,7.0,75.0,
13,2013,58.6777,62.7907,13742.4,14708.2,0.269,14899.4,,54589.199,,0.67,92.36,3.0,0.003,38.5965,289536.0,27.19,,,6.0,31.9,69.6429,12.0,11.0,91.667,1.0,7.0,96.0,
14,2014,59.9174,62.7907,,,,14411.0,,56863.898,,0.94,225.131,2.0,0.015,43.8596,298099.0,27.0,,,8.0,45.48,69.6429,13.0,12.0,92.308,1.0,7.0,99.0,
15,2015,58.6777,62.0155,,,,14713.2,317.314,58000.301,,0.821,223.186,8.0,0.093,49.1228,323035.0,27.48,,,8.0,42.33,60.7143,12.0,11.0,91.667,1.0,9.0,94.0,
16,2016,64.876,73.6434,13620.0,14574.0,0.251,14718.4,317.009,58145.301,,0.828,250.488,3.0,0.015,49.1228,335767.0,28.01,,,6.0,46.21,60.7143,13.0,12.0,92.308,1.0,8.0,99.0,
17,2017,62.8099,72.093,13889.9,14976.9,0.251,15122.8,321.603,59749.699,,1.023,287.219,2.0,0.001,43.8596,404336.0,29.0,,,7.0,55.45,60.7143,12.0,11.0,91.667,1.0,6.0,96.0,
18,2018,62.8099,72.093,14772.4,15815.3,0.246,16202.4,344.326,64329.398,,0.892,291.059,3.0,0.036,43.8596,426530.0,28.0,,,7.0,55.14,60.7143,13.0,12.0,92.308,1.0,6.0,99.5,
19,2019,,,,,,,,,,,,,,,239000.0,,,,,,,12.0,11.0,91.667,1.0,7.0,96.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
