,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,22.2642,11.7241,,,,,,,,,,,,20.3125,14534.0,,,,,,51.7857,11.0,10.0,90.909,1.0,12.0,75.0,
8,2008,21.1321,9.6552,,,,,,,,,,,,20.3125,14698.0,,,,,,51.7857,11.0,10.0,90.909,1.0,11.0,75.0,
9,2009,23.0189,13.1034,,,,,,,,,,,,20.3125,13379.0,,,,,,51.7857,11.0,10.0,90.909,1.0,10.0,75.0,
10,2010,23.0189,13.1034,,,,,,,,,,,,20.3125,13330.0,,,,,,51.7857,11.0,7.0,63.636,1.0,14.0,75.0,
11,2011,23.0189,13.1034,,,,,,,,,,,,20.3125,17257.0,,,,,,51.7857,14.0,13.0,92.857,1.0,11.0,75.0,
12,2012,23.0189,13.1034,,,,,,,,,,,,20.3125,16495.0,,,,,,51.7857,14.0,13.0,92.857,1.0,8.0,75.0,
13,2013,23.0189,13.1034,,,,,,,,,,,,20.3125,15754.0,,,,,,51.7857,15.0,14.0,93.333,1.0,11.0,75.0,
14,2014,23.7736,13.1034,,,,,,,,,,,,20.3125,15557.0,,,,,,55.3571,14.0,13.0,92.857,1.0,10.0,75.0,
15,2015,26.0377,17.2414,,,,,,,,,,,,20.3125,15781.0,,,,,,55.3571,13.0,12.0,92.308,1.0,10.0,87.0,
16,2016,39.2453,34.4828,46100.199,68436.5,,68827.797,39.936,,,,,,,32.8125,15707.0,,,,0.0,,58.9286,14.0,13.0,92.857,1.0,13.0,75.0,
17,2017,38.4906,34.4828,42162.699,60133.699,,60434.699,28.446,,,,,,,32.8125,15617.0,,,,2.0,,55.3571,13.0,12.0,92.308,1.0,14.0,75.0,
18,2018,40.7547,34.4828,32573.9,52671.602,,52972.699,34.207,,,,,,,42.1875,12494.0,20.39,13.16,,0.0,,55.3571,13.0,12.0,92.308,1.0,12.0,75.0,
19,2019,,,,,,,,,,,,,,,12316.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
