,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,17.5439,8.0357,,,,778.068,,,,,,,,3.3333,21362.0,,,,,,51.7857,15.0,12.0,80.0,1.0,6.0,75.0,
7,2007,13.5965,,,,,,,,,,,,,3.3333,21683.0,,,,,,51.7857,15.0,12.0,80.0,1.0,9.0,75.0,
8,2008,14.9123,2.6786,,,,,,,,,,,,3.3333,22423.0,,,,,,51.7857,15.0,13.0,86.667,1.0,14.0,75.0,
9,2009,15.7895,1.7856999999999998,,,,,,,,,,,,8.3333,21901.0,,,,,0.052,51.7857,12.0,10.0,83.333,1.0,14.0,75.0,
10,2010,24.5614,17.8571,,,,,,,,,,,,11.6667,20838.0,,,,,,51.7857,13.0,12.0,92.308,1.0,8.0,75.0,
11,2011,24.5614,17.8571,,,,,,,,,,,,11.6667,21334.0,,,,,,51.7857,14.0,13.0,92.857,1.0,11.0,75.0,
12,2012,23.6842,17.8571,,,,,,,,,,,,8.3333,20798.0,,,,,,51.7857,14.0,13.0,92.857,1.0,8.0,75.0,
13,2013,21.0526,15.1786,,,,,,,,,,,,3.3333,19446.0,,,,,,51.7857,15.0,14.0,93.333,1.0,15.0,75.0,
14,2014,20.1754,13.392900000000001,,,,,,,,,,,,3.3333,18351.0,,,,,,51.7857,13.0,12.0,92.308,1.0,9.0,75.0,
15,2015,24.1228,18.75,,,,100.338,,238.272,,,,,,8.3333,18261.0,,,,,,51.7857,14.0,12.0,85.714,1.0,13.0,75.0,
16,2016,29.386,13.392900000000001,,,,,,,,,,,,38.3333,18473.0,60.6,23.3,,,15.5,51.7857,13.0,12.0,92.308,1.0,12.0,75.0,
17,2017,30.7018,13.392900000000001,,,,,,,,,,,,43.3333,18840.0,59.9,24.0,,,21.7,51.7857,12.0,11.0,91.667,1.0,11.0,75.0,
18,2018,29.386,13.392900000000001,,,,,,,,,,,,38.3333,17437.0,60.1,25.2,,,,51.7857,12.0,11.0,91.667,1.0,17.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
