,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,13.2231,,,,,,,,,,,,,8.7719,15000.0,,,,,,48.2143,14.0,13.0,92.857,3.0,9.0,75.0,
8,2008,14.0496,,,,,,,,,,,,,8.7719,15000.0,,,,,,51.7857,13.0,12.0,92.308,3.0,11.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,15000.0,,,,,,51.7857,12.0,11.0,91.667,3.0,11.0,75.0,
10,2010,19.4215,4.6512,,,,,,,,,,,,21.0526,15000.0,,,,,,51.7857,11.0,10.0,90.909,3.0,12.0,75.0,
11,2011,28.9256,21.7054,,,,106.207,,310.126,,0.799,13.58,,,17.5439,16220.0,,,,0.0,,57.1429,11.0,10.0,90.909,3.0,12.0,75.0,
12,2012,24.3802,13.1783,,,,,,,,,,,,17.5439,17000.0,,,,,,57.1429,11.0,10.0,90.909,1.0,12.0,75.0,
13,2013,24.7934,11.6279,,,,,,,,,,,,28.0702,18000.0,,,,,,51.7857,11.0,10.0,90.909,1.0,12.0,75.0,
14,2014,31.8182,24.8062,,,,136.66,,340.496,,,,,,28.0702,18000.0,,,,0.0,,51.7857,12.0,11.0,91.667,1.0,12.0,75.0,
15,2015,34.2975,27.1318,,,,133.968,,336.241,,,,,,33.3333,18103.0,,,,0.0,,51.7857,11.0,10.0,90.909,1.0,12.0,75.0,
16,2016,36.7769,31.7829,,,,100.312,,287.586,,0.047,22.747,,,33.3333,17775.0,,,,0.0,,51.7857,10.0,9.0,90.0,1.0,11.0,75.0,
17,2017,38.843,33.3333,,,,103.318,,245.122,,0.073,19.417,,,33.3333,16208.0,,,,0.0,,57.1429,9.0,8.0,88.889,1.0,12.0,75.0,
18,2018,38.843,35.6589,,,,104.291,,252.242,489.571,0.044,43.914,,,28.0702,16253.0,,,,0.0,,57.1429,11.0,10.0,90.909,1.0,10.0,75.0,
19,2019,,,,,,,,,,,,,,,17000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
