,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,15.7025,1.5504,,,,,,,,,,,,8.7719,5000.0,,,,,,55.3571,9.0,8.0,88.889,3.0,6.0,75.0,
8,2008,15.7025,1.5504,,,,,,,,,,,,8.7719,5000.0,,,,,,55.3571,9.0,8.0,88.889,3.0,5.0,75.0,
9,2009,15.7025,1.5504,,,,,,,,,,,,8.7719,4800.0,,,,,,55.3571,10.0,9.0,90.0,3.0,5.0,75.0,
10,2010,29.3388,20.155,,,,3730.0,,8267.47,23333.301,,41.8,,,24.5614,4900.0,,,,,,55.3571,10.0,9.0,90.0,3.0,6.0,75.0,
11,2011,33.4711,20.9302,,,,4043.0,,8596.67,24658.199,,37.9,,,35.0877,5000.0,21.9,18.6,,,,60.7143,11.0,10.0,90.909,3.0,6.0,75.0,
12,2012,37.6033,24.8062,,,,4310.0,,8907.27,24749.0,,29.5,,,43.8596,5700.0,22.4,19.2,,,1.6400000000000001,60.7143,10.0,9.0,90.0,3.0,6.0,75.0,
13,2013,38.843,24.8062,,,,413.0,,1747.78,2800.0,,89.7,,,38.5965,5600.0,23.7,21.3,,,1.8,71.4286,11.0,10.0,90.909,3.0,8.0,75.0,
14,2014,37.6033,24.8062,,,,3988.0,,1737.22,12800.0,,86.6,,,38.5965,5600.0,25.0,21.3,,,,66.0714,10.0,9.0,90.0,1.0,8.0,75.0,
15,2015,42.1488,29.4574,,,,368.0,,1653.61,12800.0,23.231,76.1,,,47.3684,6150.0,26.0,22.5,,0.0,,66.0714,10.0,9.0,90.0,1.0,7.0,75.0,
16,2016,45.0413,34.1085,,,,346.0,,1643.06,13000.0,10.978,97.288,,,49.1228,5852.0,26.2,26.1,14.0,0.0,,66.0714,11.0,10.0,90.909,1.0,6.0,75.0,
17,2017,45.8678,35.6589,,,,303.0,,1405.0,10432.0,20.792,109.282,,,49.1228,6432.0,26.1,26.7,13.0,,,66.0714,11.0,10.0,90.909,1.0,7.0,75.0,
18,2018,34.7107,19.3798,,,,,,,,,,,,38.5965,6283.0,28.72,28.0,,,,66.0714,11.0,10.0,90.909,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
