,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,,,,,,,,,,,,,8.7719,301.0,,,,,,51.7857,7.0,6.0,85.714,3.0,9.0,75.0,
8,2008,,,,,,,,,,,,,,,276.0,,,,,,,7.0,6.0,85.714,3.0,5.0,92.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,239.0,,,,,,51.7857,7.0,6.0,85.714,1.0,6.0,98.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,238.0,,,,,,51.7857,7.0,6.0,85.714,1.0,9.0,99.0,
11,2011,14.0496,,,,,,,,,,,,,8.7719,254.0,,,,,,51.7857,7.0,6.0,85.714,1.0,5.0,97.0,
12,2012,14.0496,,,,,,,,,,,,,8.7719,256.0,,,,,,51.7857,7.0,6.0,85.714,1.0,6.0,96.0,
13,2013,15.2893,2.3256,,,,,,,,,,,,8.7719,425.0,,,,,,51.7857,7.0,6.0,85.714,1.0,5.0,99.0,
14,2014,15.2893,2.3256,,,,,,,,,,,,8.7719,405.0,,,,,,51.7857,7.0,6.0,85.714,1.0,5.0,99.0,
15,2015,15.2893,2.3256,,,,,,,,,,,,8.7719,436.0,,,,,,51.7857,7.0,6.0,85.714,1.0,5.0,100.0,
16,2016,16.5289,4.6512,,,,,,,,,,,,8.7719,329.0,,,,,,51.7857,7.0,6.0,85.714,1.0,4.0,100.0,
17,2017,19.4215,6.9767,,,,,,,,,,,,12.2807,326.0,,,,,,55.3571,7.0,6.0,85.714,1.0,4.0,100.0,
18,2018,19.4215,6.9767,,,,,,,,,,,,12.2807,303.0,,,,,,55.3571,7.0,6.0,85.714,1.0,5.0,100.0,
19,2019,,,,,,,,,,,,,,,313.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
