,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,10.3306,,,,,,,,,,,,,,,,,,,,44.6429,7.0,5.0,71.429,3.0,12.0,75.0,
10,2010,11.157,,,,,,,,,,,,,,,,,,,,48.2143,7.0,5.0,71.43,3.0,4.0,75.0,
11,2011,11.157,,,,,,,,,,,,,,,,,,,,48.2143,7.0,5.0,71.43,3.0,4.0,75.0,
12,2012,11.157,,,,,,,,,,,,,,,,,,,,48.2143,5.0,3.0,60.0,3.0,5.0,75.0,
13,2013,11.157,,,,,,,,,,,,,,,,,,,,48.2143,7.0,5.0,71.43,3.0,13.0,75.0,
14,2014,11.157,,,,,,,,,,,,,,,,,,,,48.2143,7.0,5.0,71.43,3.0,6.0,75.0,
15,2015,15.2893,,,,,,,,,,,,,14.0351,4018.0,,,,,,51.7857,7.0,5.0,71.429,3.0,6.0,75.0,
16,2016,15.2893,,,,,,,,,,,,,14.0351,4665.0,,,,,,51.7857,7.0,5.0,71.429,3.0,7.0,75.0,
17,2017,15.2893,,,,,,,,,,,,,14.0351,5066.0,,,,,,51.7857,8.0,6.0,75.0,3.0,16.0,75.0,
18,2018,15.2893,,,,,,,,,,,,,14.0351,5845.0,,,,,,51.7857,8.0,6.0,75.0,3.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
