,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,12.8099,,,,,,,,,,,,,3.5088,72200.0,,,,,,51.7857,13.0,12.0,92.308,1.0,8.0,100.0,
6,2006,14.0496,,,,,,,,,,,,,8.7719,81000.0,,,,,,51.7857,12.0,11.0,91.667,1.0,7.0,97.0,
7,2007,15.2893,2.3256,,,,926.16,,,,,,,,8.7719,83500.0,,,,,,51.7857,13.0,12.0,92.308,1.0,8.0,87.0,
8,2008,15.2893,2.3256,,,,966.9,,,,,,,,8.7719,92300.0,,,,,,51.7857,11.0,9.0,81.818,1.0,10.0,75.0,
9,2009,15.2893,2.3256,,,,956.232,,,,,,,,8.7719,91700.0,,,,,,51.7857,11.0,9.0,81.818,1.0,8.0,85.0,
10,2010,20.2479,6.9767,,,,918.221,,,,,,,,19.2982,90000.0,,,,,,51.7857,10.0,9.0,90.0,1.0,9.0,90.0,
11,2011,20.2479,6.9767,,,,914.956,,,,,,,,19.2982,95100.0,,,,,,51.7857,12.0,10.0,83.333,1.0,9.0,90.0,
12,2012,19.0083,2.3256,,,,,,,,,,,,19.2982,92200.0,,,,,,57.1429,12.0,9.0,75.0,1.0,9.0,80.0,0.111
13,2013,20.2479,6.9767,,,,,,,,,,,,19.2982,96000.0,,,,,,51.7857,11.0,9.0,81.818,1.0,10.0,92.0,
14,2014,21.4876,9.3023,,,,870.522,,,,,,,,19.2982,99500.0,,,,,,51.7857,12.0,10.0,83.333,1.0,8.0,94.0,
15,2015,26.0331,13.9535,,,,790.851,,,,,,,,24.5614,99900.0,,,,,,55.3571,12.0,10.0,83.333,1.0,8.0,88.0,
16,2016,18.595,2.3256,,,,793.371,,,,,,,,19.2982,98800.0,,,,,,55.3571,13.0,11.0,84.615,1.0,8.0,86.0,
17,2017,26.0331,11.6279,,,,762.631,,,,,,,,29.8246,98600.0,28.0,,,,,55.3571,11.0,9.0,81.818,1.0,9.0,97.27,
18,2018,22.314,9.3023,,,,,,,,,,,,19.2982,105600.0,,,,,,55.3571,10.0,9.0,90.0,1.0,11.0,100.0,
19,2019,,,,,,,,,,,,,,,102900.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
