,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,33.8843,21.7054,,,,11120.0,,29038.401,,,,,0.323,33.3333,316000.0,34.0,,,3.0,,62.5,15.0,11.0,73.333,1.0,12.0,94.0,1.179
6,2006,38.843,28.6822,,,,7670.0,,19124.699,131360.0,38.123,235.121,,0.35,38.5965,319000.0,35.0,21.0,,7.0,,62.5,16.0,12.0,75.0,1.0,10.0,75.0,1.24
7,2007,44.6281,33.3333,,,,7020.0,,17822.301,,41.344,254.583,,0.236,43.8596,327000.0,35.0,,,,,71.4286,16.0,12.0,75.0,1.0,13.0,75.0,0.734
8,2008,33.8843,21.7054,,,,6490.0,,16781.5,,43.215,247.955,,0.096,38.5965,323000.0,35.0,,,,,57.1429,16.0,13.0,81.25,1.0,22.0,75.0,
9,2009,34.7107,23.2558,,,,5790.0,,15276.2,,32.751,304.979,,0.089,38.5965,288000.0,34.0,,,,,57.1429,16.0,14.0,87.5,1.0,15.0,75.0,
10,2010,35.5372,23.2558,,,,5650.0,,14817.6,,36.1,362.1,,0.078,38.5965,287000.0,33.0,,,3.0,,60.7143,17.0,15.0,88.235,1.0,9.0,75.0,
11,2011,35.5372,25.5814,,,,5090.0,,14170.8,84600.0,34.1,349.1,,0.038,33.3333,301000.0,,,,1.0,,60.7143,16.0,14.0,87.5,1.0,15.0,75.0,
12,2012,61.157,51.1628,1765.0,4654.0,0.33,4880.44,,14112.0,79300.0,36.5,544.5,,0.145,68.4211,305000.0,29.4,25.08,,0.0,,76.7857,18.0,16.0,88.889,1.0,13.0,75.0,0.689
13,2013,62.3967,58.1395,1771.0,4785.0,0.331,4977.0,,14441.3,84300.0,50.125,504.913,,0.197,68.4211,309310.0,28.82,30.41,,9.0,,66.0714,18.0,17.0,94.444,1.0,14.0,75.0,
14,2014,55.3719,54.2636,1803.0,4805.0,0.33,5034.0,,14540.0,84867.0,54.05,369.11,,0.105,42.1053,305000.0,,,,1.0,,71.4286,17.0,16.0,94.118,1.0,11.0,75.0,0.927
15,2015,56.6116,58.9147,1618.0,4177.0,0.306,4533.0,,13671.0,98702.0,47.727,276.979,,0.043,42.1053,333000.0,,,,,,66.0714,16.0,15.0,93.75,1.0,10.0,,0.696
16,2016,47.9339,44.186,,,,,,11907.0,25477.0,52.063,363.709,,2.294,38.5965,295000.0,,,,5.0,,66.0714,17.0,16.0,94.118,1.0,13.0,75.0,0.804
17,2017,45.8678,42.6357,,,,,,12054.0,25212.0,66.058,1328.41,,0.12,38.5965,313000.0,,,,2.0,,60.7143,17.0,16.0,94.118,1.0,11.0,75.0,0.165
18,2018,43.3884,37.9845,,,,,,8849.4,24757.699,,,,0.065,38.5965,283000.0,,,,2.0,,60.7143,11.0,10.0,90.909,1.0,11.0,75.0,0.0
19,2019,,,,,,,,,,,,,,,205000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
