,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,12.8099,,,,,,,,,,,,,3.5088,1900.0,,,,,,51.7857,9.0,8.0,88.889,1.0,7.0,75.0,
6,2006,12.8099,,,,,,,,,,,,,3.5088,2515.0,,,,,,51.7857,10.0,9.0,90.0,1.0,9.0,75.0,
7,2007,14.0496,2.3256,,50.0,,,,,,,,,,3.5088,2979.0,,,,,,51.7857,10.0,9.0,90.0,1.0,5.0,75.0,
8,2008,16.5289,6.9767,,,,56.853,,,,,,,,3.5088,3441.0,,,,,,51.7857,11.0,9.0,81.818,1.0,5.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,3852.0,,,,,,51.7857,12.0,10.0,83.333,1.0,6.0,75.0,
10,2010,12.8099,,,,,,,,,,,,,3.5088,4000.0,,,,,,51.7857,13.0,10.0,76.923,1.0,7.0,75.0,
11,2011,12.8099,,,,,,,,,,,,,3.5088,4500.0,,,,,,51.7857,12.0,10.0,83.333,1.0,11.0,75.0,
12,2012,12.8099,,,,,,,,,,,,,3.5088,5000.0,,,,,,51.7857,12.0,10.0,83.333,1.0,6.0,75.0,
13,2013,14.0496,,,,,,,,,,,,,8.7719,6100.0,,,,,,51.7857,10.0,9.0,90.0,1.0,4.0,75.0,
14,2014,23.5537,9.3023,,,,,,,,,,,,28.0702,7000.0,51.0,,,,280.0,51.7857,10.0,9.0,90.0,1.0,4.0,75.0,
15,2015,27.2727,13.9535,,,,,,,,,,,,28.0702,8000.0,50.0,,,,500.0,57.1429,10.0,9.0,90.0,1.0,5.0,75.0,0.123
16,2016,40.9091,32.5581,,,,81.3,,337.003,,,,,,38.5965,8795.0,52.0,,,0.0,460.0,62.5,10.0,8.0,80.0,1.0,8.0,75.0,4.576
17,2017,50.0,49.6124,,,,82.381,,365.842,466.1,5.046,100.23,,,38.5965,9085.0,51.0,,,0.0,400.0,62.5,9.0,7.0,77.778,1.0,9.0,75.0,0.382
18,2018,35.124,17.8295,,,,,,,,,,,,43.8596,10825.0,51.0,,,0.0,400.0,66.0714,10.0,8.0,80.0,1.0,16.0,75.0,0.488
19,2019,,,,,,,,,,,,,,,11800.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
