,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,20.2479,13.9535,,,,1083.273,,2250.0,9000.0,,220.0,,,3.5088,27800.0,,,,,,51.7857,12.0,11.0,91.67,1.0,6.0,74.83,
7,2007,33.4711,26.3566,,,,1061.0,,2728.058,10600.0,,221.0,,,17.5439,28000.0,,,,,82.0,66.0714,13.0,11.0,84.62,1.0,6.0,89.0,0.013
8,2008,36.7769,29.4574,,,,1061.0,,2724.411,11000.0,,239.0,,,28.0702,29500.0,,,,,87.0,62.5,15.0,13.0,86.67,1.0,7.0,75.0,0.006
9,2009,,,,,,1033.0,,2665.3,11000.0,,197.0,,,,30000.0,,,,,90.7,,14.0,13.0,92.857,1.0,8.0,75.0,
10,2010,,,,,,1005.0,,2627.06,10800.0,,183.0,,,,33000.0,,,,1.0,100.0,,14.0,13.0,92.857,1.0,6.0,75.0,
11,2011,40.4959,35.6589,,,,995.0,,2577.28,10300.0,,178.0,,,35.0877,35000.0,,,,1.0,118.7,57.1429,13.0,12.0,92.308,1.0,6.0,75.0,
12,2012,42.562,38.7597,,,,936.0,,2396.83,10380.0,,159.0,,,42.1053,35000.0,,,,1.0,143.0,51.7857,13.0,12.0,92.308,1.0,8.0,75.0,
13,2013,45.0413,41.0853,,,,1011.0,,2931.2,16200.0,,190.0,,,42.1053,41000.0,,,,,153.0,57.1429,13.0,12.0,92.308,1.0,6.0,75.0,
14,2014,44.2149,41.0853,,,,965.0,,2923.93,15600.0,,186.0,,,38.5965,43000.0,,,,,151.0,57.1429,13.0,12.0,92.308,1.0,6.0,75.0,
15,2015,44.2149,41.0853,,,,956.0,,2894.48,15800.0,,193.0,,,38.5965,42000.0,,,,,154.9,57.1429,14.0,13.0,92.857,1.0,7.0,75.0,
16,2016,47.5207,43.4109,,,,971.0,,2812.22,17400.0,,221.0,,,38.5965,39000.0,,,,,120.8,66.0714,13.0,12.0,92.308,1.0,8.0,75.0,0.08
17,2017,52.0661,44.9612,,,,950.0,,2675.61,14400.0,,238.0,,,49.1228,38000.0,42.77,,323.0,0.0,113.0,71.4286,14.0,13.0,92.857,1.0,10.0,75.0,0.001
18,2018,50.8264,42.6357,,,,875.0,,2508.06,13700.0,,231.0,,,49.1228,40000.0,44.811,,308.0,1.0,74.0,71.4286,10.0,10.0,100.0,1.0,9.0,75.0,0.002
19,2019,,,,,,,,,,,,,,,40000.0,,,,,,,12.0,11.0,91.667,1.0,5.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
