,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,13.5965,,,,,,,,,,,,,3.3333,2354.0,,,,,,51.7857,10.0,8.0,80.0,3.0,9.0,75.0,
8,2008,13.5965,,,,,,,,,,,,,3.3333,2195.0,,,,,,51.7857,10.0,8.0,80.0,3.0,6.0,75.0,
9,2009,13.5965,,,,,,,,,,,,,3.3333,2360.0,,,,,,51.7857,10.0,8.0,80.0,1.0,5.0,75.0,
10,2010,13.5965,,,,,,,,,,,,,3.3333,2224.0,,,,,,51.7857,10.0,8.0,80.0,1.0,6.0,75.0,
11,2011,13.5965,,,,,,,,,,,,,3.3333,2249.0,,,,,,51.7857,10.0,9.0,90.0,1.0,4.0,75.0,
12,2012,14.9123,,,,,,,,,,,,,8.3333,2570.0,,,,,,51.7857,12.0,9.0,75.0,1.0,8.0,75.0,
13,2013,16.2281,,,,,,,,,,,,,13.3333,2890.0,,,,,,51.7857,12.0,9.0,75.0,1.0,5.0,75.0,
14,2014,16.2281,,,,,,,,,,,,,13.3333,2980.0,,,,,,51.7857,11.0,9.0,81.818,1.0,5.0,75.0,
15,2015,16.2281,,,,,,,,,,,,,13.3333,3115.0,,,,,,51.7857,11.0,9.0,81.818,1.0,4.0,75.0,
16,2016,18.4211,,,,,,,,,,,,,21.6667,3128.0,64.0,,,,,51.7857,12.0,10.0,83.333,1.0,5.0,75.0,
17,2017,18.4211,,,,,,,,,,,,,21.6667,3102.0,66.0,,,,,51.7857,12.0,10.0,83.333,1.0,5.0,75.0,
18,2018,18.4211,,,,,,,,,,,,,21.6667,3102.0,65.0,,,,,51.7857,14.0,12.0,85.714,1.0,5.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
