,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,26.8595,16.2791,,,,1002.46,,,,,,,,22.807,24800.0,,,,0.0,,55.3571,16.0,12.0,75.0,3.0,14.0,75.0,
8,2008,35.124,26.3566,321.643,1277.79,,1287.59,,,,,,,,24.5614,27000.0,,,,0.0,6.509,66.0714,14.0,10.0,71.429,3.0,15.0,75.0,0.0
9,2009,41.3223,28.6822,261.187,1166.32,,1175.44,,,,,,,,45.614,23500.0,46.0,,97.0,0.0,6.25,66.0714,14.0,11.0,78.571,3.0,17.0,75.0,0.0
10,2010,38.843,24.031,,,,,,118.0,,,,,,45.614,26200.0,45.0,,113.0,0.0,5.27,66.0714,14.0,12.0,85.714,1.0,17.0,75.0,0.0
11,2011,26.0331,13.9535,,,,,,,,,,,,24.5614,28800.0,,,,0.0,,55.3571,14.0,13.0,92.857,1.0,18.0,75.0,
12,2012,23.5537,9.3023,,,,,,,,,,,,24.5614,28700.0,,,,0.0,,55.3571,14.0,11.0,78.571,1.0,20.0,98.51,
13,2013,23.5537,9.3023,,,,,,,,,,,,24.5614,30400.0,,,,0.0,,55.3571,13.0,10.0,76.923,1.0,21.0,97.55,
14,2014,22.314,9.3023,,,,,,,,,,,,24.5614,34600.0,,,,0.0,,50.0,13.0,11.0,84.615,1.0,7.0,,
15,2015,23.5537,9.3023,,,,,,,,,,,,24.5614,35700.0,,,,0.0,,55.3571,13.0,12.0,92.308,1.0,10.0,96.0,
16,2016,22.314,9.3023,,,,,,,,,,,,19.2982,40700.0,,,,0.0,,55.3571,13.0,12.0,92.308,1.0,6.0,98.0,
17,2017,22.314,9.3023,,,,,,,,,,,,19.2982,46200.0,,,,0.0,,55.3571,13.0,12.0,92.308,1.0,6.0,98.0,
18,2018,22.314,9.3023,,,,,,,,,,,,19.2982,51500.0,,,,0.0,,55.3571,14.0,13.0,92.857,1.0,5.0,99.0,
19,2019,,,,,,,,,,,,,,,49500.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
