,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,5.7851,,,,,,,,,,,,,3.5088,217000.0,,,,,,21.4286,12.0,,,,,,
10,2010,38.4298,37.9845,,,,7863.41,,,53817.0,,2722.1,36.0,0.0,17.5439,202000.0,,,,,,60.7143,11.0,9.0,81.818,1.0,12.0,95.0,
11,2011,42.1488,42.6357,,,,7639.92,1.963,,61530.301,,2736.0,21.0,0.0,17.5439,207000.0,,,,,,66.0714,12.0,10.0,83.333,1.0,10.0,95.0,
12,2012,45.0413,48.062,,,,7986.13,1.7770000000000001,20828.0,63527.602,,2624.0,,0.0,17.5439,213000.0,,,,,,66.0714,14.0,12.0,85.714,1.0,11.0,96.0,
13,2013,46.281,48.8372,,,,8416.03,1.885,21873.301,61468.0,,2650.0,,0.0,21.0526,219000.0,,,,,,66.0714,14.0,12.0,85.714,1.0,10.0,93.0,
14,2014,49.1736,51.938,,,,8081.75,1.799,21382.0,60593.398,,2401.0,,0.0,26.3158,216000.0,,,,,,66.0714,13.0,10.0,76.923,1.0,11.0,94.0,
15,2015,52.0661,48.062,,,,7532.14,1.654,20235.5,,,2491.0,,,42.1053,215000.0,26.0,,,,,71.4286,12.0,9.0,75.0,1.0,12.0,95.0,0.672
16,2016,57.8512,51.938,,,,7802.7,1.5899999999999999,20804.301,61147.398,,2915.0,,,57.8947,225000.0,18.2,32.0,,,,71.4286,11.0,9.0,81.818,1.0,8.0,94.0,0.62
17,2017,60.7438,57.3643,1811.23,,,6426.45,1.388,17425.1,55990.199,,2214.44,,,57.8947,180000.0,20.7,31.6,,,,71.4286,10.0,9.0,90.0,1.0,10.0,97.0,0.622
18,2018,57.8512,49.6124,,,,6067.51,0.026,17504.6,,,2309.0,,,63.1579,173000.0,21.4,21.6,,,3.2,71.4286,12.0,11.0,91.667,1.0,10.0,96.0,0.65
19,2019,,,,,,,,,,,,,,,164000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
