,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,16805.0,,,,,,51.7857,10.0,6.0,60.0,1.0,7.0,75.0,
8,2008,17.7686,9.3023,,,,,,,,,,,,3.5088,20222.0,,,,,,51.7857,10.0,7.0,70.0,1.0,7.0,75.0,
9,2009,20.2479,13.9535,,,,1158.91,,,,,,,,3.5088,19835.0,,,,,,51.7857,9.0,6.0,66.667,1.0,5.0,80.0,
10,2010,19.0083,9.3023,,,,,,,,,,,,8.7719,24400.0,,,,,,51.7857,9.0,6.0,66.667,1.0,7.0,80.0,
11,2011,27.686,23.2558,,,,1469.27,,2863.85,,,,,,14.0351,32467.0,,,,,,51.7857,9.0,6.0,66.667,1.0,12.0,75.0,
12,2012,29.7521,27.1318,,,,1691.83,,3324.82,,,,,,14.0351,53861.0,,,,,,51.7857,10.0,7.0,70.0,1.0,6.0,75.0,
13,2013,30.9917,27.1318,,,,1872.52,,3970.44,,,,,,19.2982,47756.0,,21.0,,,,51.7857,10.0,7.0,70.0,1.0,8.0,75.0,
14,2014,30.9917,27.1318,,,,2250.62,,4702.39,,,,,,19.2982,53600.0,,22.0,,,,51.7857,11.0,8.0,72.727,1.0,8.0,75.0,
15,2015,42.562,39.5349,,,,2761.52,,6055.75,,,50.05,,,35.0877,61814.0,30.6,22.9,,,,57.1429,11.0,7.0,63.636,1.0,9.0,75.0,
16,2016,45.8678,45.7364,,,,2968.77,,6513.72,9463.96,,45.705,,,35.0877,72053.0,31.0,24.2,,,,57.1429,12.0,8.0,66.667,1.0,5.0,75.0,
17,2017,45.8678,43.4109,,,,3367.94,,8029.41,11625.5,,56.575,,,40.3509,80110.0,30.8,24.5,,,,57.1429,12.0,7.0,58.333,1.0,5.0,75.0,
18,2018,42.1488,41.0853,,,,4408.21,,10572.5,15785.9,,57.113,,,29.8246,98771.0,33.2,25.9,,,,57.1429,11.0,6.0,54.546,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
