,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,11.9835,,,,,,,,,,,,,3.5088,32000.0,,,,,,48.2143,13.0,9.0,69.231,3.0,4.0,75.0,
7,2007,11.9835,,,,,,,,,,,,,3.5088,32000.0,,,,,,48.2143,13.0,9.0,69.231,1.0,4.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,30300.0,,,,,,51.7857,13.0,9.0,69.231,1.0,4.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,29000.0,,,,,,51.7857,11.0,7.0,63.636,1.0,5.0,100.0,
10,2010,11.5702,,,,,,,,,,,,,3.5088,29500.0,,,,,,46.4286,12.0,8.0,66.667,1.0,4.0,,
11,2011,14.0496,,,,,,,,,,,,,8.7719,29800.0,,,,,,51.7857,12.0,9.0,75.0,1.0,4.0,100.0,
12,2012,16.1157,,,,,,,,,,,,,14.0351,31900.0,,,,,,55.3571,13.0,9.0,69.231,1.0,4.0,100.0,
13,2013,16.1157,,,,,,,,,,,,,14.0351,37500.0,,,,,,55.3571,12.0,8.0,66.667,1.0,4.0,100.0,
14,2014,16.1157,,,,,,,,,,,,,14.0351,39000.0,,,,,,55.3571,14.0,10.0,71.429,1.0,4.0,100.0,
15,2015,20.2479,7.7519,,,,,,676.336,,,,,,14.0351,39600.0,,,,,,55.3571,14.0,10.0,71.429,1.0,4.0,100.0,
16,2016,20.2479,7.7519,,,,,,798.469,,,,,,14.0351,40000.0,,,,,,55.3571,13.0,10.0,76.923,1.0,5.0,98.46,
17,2017,30.5785,27.1318,,146.032,0.185,,,787.931,375.909,,,,,14.0351,48000.0,,,,,,55.3571,12.0,9.0,75.0,1.0,7.0,98.8,
18,2018,30.5785,25.5814,,137.188,0.317,,,432.151,415.657,,,,,17.5439,50000.0,,,,,,55.3571,11.0,9.0,81.818,1.0,6.0,96.96,
19,2019,,,,,,,,,,,,,,,55000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
