,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,12.8099,,,,,,,,,,,,,3.5088,4899.0,,,,,,51.7857,9.0,8.0,88.89,3.0,9.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,5844.0,,,,,,51.7857,9.0,8.0,88.89,3.0,6.0,75.0,
10,2010,12.8099,,,,,,,,,,,,,3.5088,3592.0,,,,,,51.7857,9.0,8.0,88.889,3.0,7.0,100.0,
11,2011,12.8099,,,,,,,,,,,,,3.5088,3753.0,,,,,,51.7857,9.0,8.0,88.889,3.0,7.0,100.0,
12,2012,12.8099,,,,,,,,,,,,,3.5088,3796.0,,,,,,51.7857,9.0,8.0,88.89,3.0,8.0,98.0,
13,2013,12.8099,,,,,,,,,,,,,3.5088,3954.0,,,,,,51.7857,9.0,8.0,88.889,3.0,5.0,100.0,
14,2014,14.0496,,,,,,,,,,,,,8.7719,4135.0,,,,,,51.7857,9.0,7.0,77.778,3.0,6.0,75.0,
15,2015,14.0496,,,,,,,,,,,,,8.7719,4438.0,,,,,,51.7857,9.0,8.0,88.889,3.0,7.0,75.0,
16,2016,15.2893,,,,,,,,,,,,,14.0351,8995.0,,,,,,51.7857,10.0,8.0,80.0,3.0,8.0,75.0,
17,2017,15.7025,1.5504,,,,,,,,,,,,8.7719,10000.0,,,,,,55.3571,9.0,7.0,77.778,3.0,6.0,75.0,
18,2018,16.9421,1.5504,,,,,,,,,,,,14.0351,11000.0,,,,,,55.3571,9.0,6.0,66.667,3.0,5.0,75.0,
19,2019,,,,,,,,,,,,,,,24000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
