,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,14.8325,,,,,,,,,,,,,3.5088,152000.0,,,,,,51.7857,13.0,9.0,69.231,1.0,6.0,75.0,
6,2006,28.7081,12.5,,,,,,,,,,,,22.807,153000.0,,,,,,62.5,13.0,9.0,69.231,1.0,6.0,75.0,0.051
7,2007,25.8373,12.5,,,,,,,,,,,,22.807,154000.0,,,,,,51.7857,12.0,9.0,75.0,1.0,6.0,75.0,
8,2008,40.1914,38.5417,,,,615.105,,1409.32,,,,,,22.807,150000.0,,,,,,60.7143,13.0,9.0,69.231,1.0,6.0,75.0,0.052
9,2009,41.6268,38.5417,,,,552.879,,1288.25,,,,,,28.0702,134000.0,,,,,,60.7143,13.0,9.0,69.231,1.0,8.0,75.0,0.026
10,2010,41.6268,40.625,,,,520.461,,1250.18,,,,,,28.0702,135000.0,,,,,,57.1429,10.0,9.0,90.0,1.0,7.0,75.0,0.011
11,2011,40.1914,37.5,,,,520.461,,1250.18,,,,,,28.0702,134000.0,,,,,,57.1429,10.0,9.0,90.0,1.0,7.0,75.0,0.011
12,2012,51.1962,42.7083,,,,486.873,,1014.0,1910.0,,,,,54.386,104118.0,73.0,49.0,7449.0,,,62.5,11.0,10.0,90.909,1.0,7.0,75.0,0.015
13,2013,49.7608,42.7083,,,,444.045,,966.0,1780.0,,,,,54.386,98162.0,74.0,47.0,7487.0,,,57.1429,10.0,9.0,90.0,1.0,8.0,75.0,
14,2014,49.7608,42.7083,,,,422.272,,952.0,1220.0,,,,,54.386,137000.0,73.0,49.0,7979.0,,,57.1429,11.0,10.0,90.909,1.0,7.0,75.0,
15,2015,48.3254,42.7083,,,,499.859,,1168.0,1190.0,,,,,54.386,141000.0,74.0,46.0,7620.0,,,51.7857,10.0,9.0,90.0,1.0,6.0,75.0,
16,2016,51.1962,42.7083,29.536,,,481.122,,1167.0,1140.0,,,,,54.386,141000.0,74.0,49.0,6997.0,,,62.5,11.0,9.0,81.818,1.0,8.0,75.0,
17,2017,52.1531,42.7083,23.779,,,447.687,,1101.0,1070.0,,,,,54.386,135000.0,75.0,51.0,6802.0,,,66.0714,11.0,9.0,81.818,1.0,6.0,75.0,
18,2018,47.3684,37.5,,,,405.503,,1096.0,,,,,,50.8772,135000.0,76.0,61.0,6145.0,0.0,,60.7143,10.0,8.0,80.0,1.0,6.0,75.0,
19,2019,38.756,16.6667,,,,,,,,,,,,54.386,135000.0,76.0,59.0,6880.0,0.0,,60.7143,13.0,12.0,92.308,1.0,7.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
