,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,16.2281,5.3571,,,,207.773,,397.592,,,,,,3.3333,22425.0,,,,,,51.7857,11.0,9.0,81.818,1.0,6.0,75.0,
6,2006,24.5614,16.0714,,,,253.364,,468.605,,,,,,15.0,26647.0,,,,,,51.7857,13.0,10.0,76.923,1.0,12.0,75.0,
7,2007,22.807,16.0714,,,,247.873,,559.073,,,,,,8.3333,30522.0,,,,,120.0,51.7857,12.0,9.0,75.0,1.0,10.0,75.0,
8,2008,28.0702,29.4643,,,,323.884,,653.766,,,,,,3.3333,34099.0,,,,,,51.7857,11.0,9.0,81.818,1.0,16.0,95.0,
9,2009,33.7719,39.2857,,,,361.239,,769.077,,,9.996,,,6.6667,32500.0,,,,,,51.7857,12.0,10.0,83.333,1.0,12.0,75.0,
10,2010,38.5965,43.75,,,,366.132,,786.913,,,10.312,,,16.6667,35700.0,,,,,,51.7857,11.0,10.0,90.909,1.0,17.0,75.0,
11,2011,47.807,50.8929,,,,333.428,,722.71,1407.18,,12.798,,,20.0,33349.0,,,,,,71.4286,12.0,10.0,83.333,1.0,15.0,75.0,
12,2012,47.807,53.5714,,,,280.696,,655.635,1163.1,,10.623,,,20.0,32400.0,,,,,,66.0714,12.0,10.0,83.333,1.0,13.0,75.0,
13,2013,46.9298,53.5714,,,,260.209,,605.201,1036.01,,8.203,,,16.6667,32900.0,,,,,,66.0714,12.0,10.0,83.333,1.0,15.0,95.0,
14,2014,46.0526,51.7857,,,,254.293,,577.395,1062.53,,55.715,,,16.6667,34000.0,,,,,,66.0714,13.0,11.0,84.615,1.0,14.0,97.0,
15,2015,44.7368,51.7857,,,,233.864,,559.402,1037.06,,85.561,,,16.6667,36800.0,,,,,,60.7143,13.0,10.0,76.923,1.0,14.0,96.0,
16,2016,44.7368,51.7857,,,,221.574,,545.12,981.06,,62.86,,,16.6667,34400.0,,,,,,60.7143,14.0,11.0,78.571,1.0,14.0,96.0,
17,2017,44.7368,51.7857,,,,198.138,,534.37,979.323,,10.415,,,16.6667,33600.0,,,,,,60.7143,11.0,9.0,81.818,1.0,13.0,98.0,
18,2018,47.3684,51.7857,,,,196.291,,544.027,1012.93,,12.466,,,26.6667,36600.0,39.0,21.0,,,,60.7143,14.0,11.0,78.571,1.0,13.0,97.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
