,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,2.3256,,,,,,,,,,,,3.5088,15732.0,,,,,,46.4286,13.0,11.0,84.62,1.0,5.0,,
8,2008,13.6364,3.876,,,,,,,,,,,,3.5088,16374.0,,,,,,46.4286,13.0,11.0,84.62,1.0,5.0,,
9,2009,13.6364,3.876,,,,,,,,,,,,3.5088,16500.0,,,,,,46.4286,12.0,11.0,91.67,1.0,6.0,,
10,2010,14.0496,2.3256,,,,,,,,,,,,3.5088,18500.0,,,,,,51.7857,12.0,11.0,91.67,1.0,5.0,75.0,
11,2011,14.0496,2.3256,,,,,,,,,,,,3.5088,21400.0,,,,,,51.7857,12.0,11.0,91.67,1.0,5.0,75.0,
12,2012,17.7686,4.6512,,,,,,,,,,,,14.0351,22400.0,,,,,,51.7857,12.0,11.0,91.667,1.0,6.0,75.0,
13,2013,24.7934,13.9535,,,,,,,,,,,,22.807,23700.0,,,,,,51.7857,11.0,10.0,90.909,1.0,5.0,75.0,
14,2014,27.686,19.3798,,,,,,,588.971,,,,,22.807,23600.0,,,,,,51.7857,11.0,10.0,90.909,1.0,5.0,75.0,
15,2015,41.7355,39.5349,,,,150.415,,424.35,637.171,,,,,28.0702,25800.0,,,,,,60.7143,11.0,10.0,90.909,1.0,7.0,75.0,
16,2016,42.9752,37.2093,,,,128.572,,400.797,514.802,,,,,33.3333,25600.0,,,,,0.4,66.0714,11.0,9.0,81.818,1.0,5.0,75.0,
17,2017,45.8678,38.7597,,,,122.559,,371.143,,,,,,42.1053,25700.0,,,98.0,0.0,24.0,66.0714,11.0,10.0,90.909,1.0,5.0,75.0,
18,2018,47.1074,41.0853,37.326,,,128.252,,388.01,,,,,,42.1053,24600.0,38.0,,,0.0,36.0,66.0714,11.0,10.0,90.909,1.0,5.0,100.0,
19,2019,,,,,,,,,,,,,,,25300.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
