,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,28.9256,9.3023,,,,3150.0,,,,,,,,42.1053,104000.0,,,,5.0,362.44,60.7143,11.0,9.0,81.818,1.0,9.0,75.0,
7,2007,33.8843,13.9535,,,,3270.0,,,3358.95,,,,,52.6316,51000.0,,,720.0,4.0,349.66,60.7143,13.0,11.0,84.615,1.0,6.0,75.0,
8,2008,32.6446,11.6279,,,,3620.0,,,,,,,,52.6316,57000.0,,,803.0,4.0,225.7,60.7143,10.0,9.0,90.0,1.0,9.0,75.0,
9,2009,35.5372,17.0543,,,,3616.0,,,,,,,0.084,52.6316,51000.0,,,557.0,2.0,570.55,60.7143,11.0,9.0,81.818,1.0,6.0,75.0,
10,2010,37.6033,19.3798,,,,3887.0,,,,,,,0.003,52.6316,58000.0,,,672.0,5.0,5966.34,64.2857,11.0,9.0,81.818,1.0,6.0,75.0,
11,2011,52.0661,44.186,,,,4579.13,0.028,,,,,2.0,0.068,52.6316,68000.0,,,887.0,7.0,1684.42,69.6429,10.0,9.0,90.0,1.0,17.0,75.0,0.0
12,2012,35.5372,19.3798,,,,4212.0,,,,,,,0.031,38.5965,73000.0,,,,1.0,1783.81,69.6429,11.0,10.0,90.909,1.0,6.0,75.0,0.0
13,2013,34.2975,17.0543,,,,8697.0,,,,,,,0.157,38.5965,77000.0,,,,4.0,4131.81,69.6429,11.0,10.0,90.909,1.0,9.0,93.0,0.0
14,2014,44.6281,38.7597,,,,11738.3,,45534.0,,4.087,52.28,,,38.5965,80000.0,,,,3.0,3108.24,64.2857,13.0,11.0,84.615,1.0,9.0,86.0,
15,2015,47.9339,44.9612,,,,3496.84,,12644.6,2036.05,58.497,814.508,,,38.5965,65000.0,,,,1.0,3478.38,64.2857,12.0,10.0,83.333,1.0,6.0,80.0,
16,2016,47.9339,44.9612,,,,1975.97,,7135.0,1174.06,103.99,373.87,,,38.5965,50000.0,,,,6.0,2740.0,64.2857,13.0,11.0,84.615,1.0,7.0,93.0,
17,2017,47.9339,44.9612,,,,2098.52,,7469.58,1924.25,70.417,160.313,,,38.5965,55000.0,,,,1.0,2109.03,64.2857,13.0,11.0,84.615,1.0,6.0,79.0,
18,2018,49.1736,47.2868,,,,1309.11,,4707.11,2646.23,50.751,209.447,,,38.5965,60000.0,,,,0.0,1971.33,64.2857,11.0,11.0,100.0,1.0,6.0,83.0,
19,2019,,,,,,,,,,,,,,,55000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
