,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,36.3636,33.3333,8.13,34.097,0.399,34.379,,85.522,75.144,,,,,28.0702,5900.0,51.0,,,,,51.7857,14.0,11.0,78.571,1.0,7.0,75.0,
9,2009,37.6033,33.3333,7.357,32.174,0.368,32.447,,87.339,66.778,,,,,33.3333,5800.0,51.0,,,,15.0,51.7857,14.0,11.0,78.571,1.0,7.0,75.0,
10,2010,40.0826,33.3333,6.736,30.248,0.417,30.48,,72.505,69.806,,,,,33.3333,5800.0,51.0,,,,23.7,62.5,13.0,11.0,84.615,1.0,11.0,75.0,
11,2011,45.0413,40.3101,7.533,27.007,0.399,27.34,,67.629,61.099,,,,,43.8596,5677.0,51.0,,,0.0,15.7,57.1429,13.0,12.0,92.308,1.0,8.0,75.0,
12,2012,43.8017,42.6357,5.886,23.109,0.334,23.407,,69.129,51.862,,,,,38.5965,5474.0,50.0,,,0.0,14.5,51.7857,13.0,12.0,92.308,1.0,7.0,75.0,
13,2013,52.4793,50.3876,7.229,23.937,0.38,24.251,0.0,62.969,51.484,,,,,43.8596,5035.0,50.0,,,0.0,14.5,66.0714,13.0,12.0,92.308,1.0,8.0,75.0,
14,2014,53.3058,56.5891,7.178,22.167,0.381,22.366,0.0,58.218,51.862,0.028,6.305,,,38.5965,5202.0,51.0,,,0.0,13.9,60.7143,16.0,15.0,93.75,1.0,12.0,75.0,
15,2015,57.0248,61.2403,5.229,14.641,0.332,14.763,0.0,44.1,49.97,0.014,2.666,0.0,0.0,43.8596,4950.0,54.0,,,0.0,14.1,60.7143,11.0,10.0,90.909,1.0,8.0,75.0,
16,2016,59.5041,61.2403,5.213,13.704,0.306,13.762,0.0,44.756,67.383,0.009,2.955,0.0,0.0,49.1228,5382.0,55.0,,,0.0,14.4,66.0714,14.0,13.0,92.857,1.0,7.0,75.0,
17,2017,59.5041,61.2403,6.586,14.543,0.324,14.543,0.0,44.831,63.598,0.011,4.2620000000000005,0.0,0.0,49.1228,5660.0,55.0,,,0.0,22.5,66.0714,12.0,11.0,91.667,1.0,8.0,75.0,
18,2018,57.438,57.3643,5.446,13.064,0.302,13.076,0.0,43.188,62.462,0.01,4.319,0.0,0.0,49.1228,5288.0,55.0,,,0.0,19.9,66.0714,13.0,11.0,84.615,1.0,10.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
