,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,13.5965,,,,,,,,,,,,,3.3333,11925.0,,,,,,51.7857,14.0,12.0,85.714,1.0,11.0,75.0,
8,2008,14.473700000000001,,,,,,,,,,,,,3.3333,10951.0,,,,,,55.3571,14.0,12.0,85.714,1.0,15.0,75.0,
9,2009,14.473700000000001,,,,,,,,,,,,,3.3333,10272.0,,,,,,55.3571,14.0,10.0,71.429,1.0,24.0,75.0,
10,2010,13.5965,,,,,,,,,,,,,3.3333,5501.0,,,,,,51.7857,15.0,12.0,80.0,1.0,11.0,75.0,
11,2011,14.9123,,,,,,,,,,,,,8.3333,5532.0,,,,,,51.7857,14.0,12.0,85.714,1.0,8.0,75.0,
12,2012,14.9123,,,,,,,,,,,,,8.3333,11806.0,,,,,,51.7857,12.0,10.0,83.333,1.0,11.0,75.0,
13,2013,17.1053,2.6786,,,,,,,,,,,,11.6667,11964.0,,,,,,51.7857,11.0,9.0,81.818,1.0,16.0,75.0,
14,2014,17.1053,2.6786,,,,,,,,,,,,11.6667,11873.0,,,,,,51.7857,12.0,10.0,83.333,1.0,12.0,75.0,
15,2015,17.1053,2.6786,,,,,,,,,,,,11.6667,12243.0,,,,,,51.7857,11.0,9.0,81.818,1.0,15.0,75.0,
16,2016,22.3684,5.3571,,,,,,,,,,,,26.6667,15993.0,51.0,,,,7.5,51.7857,16.0,14.0,87.5,1.0,15.0,75.0,
17,2017,29.8246,13.392900000000001,,,,,,,,,,,,31.6667,15770.0,49.0,,,,12.5,60.7143,15.0,13.0,86.667,1.0,16.0,97.33,
18,2018,40.3509,32.1429,,,,90.821,,,36.036,,,,,31.6667,15693.0,48.0,,,,10.6,66.0714,12.0,11.0,91.667,1.0,17.0,95.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
