,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,30.9917,31.7829,,607.739,0.356,,,1705.2,14717.2,0.001,34.512,,,8.7719,45200.0,,,,,,51.7857,10.0,7.0,70.0,1.0,7.0,75.0,
9,2009,30.9917,31.7829,,479.814,0.342,,,1399.44,11118.64,0.001,26.003,,,8.7719,47400.0,,,,,,51.7857,9.0,7.0,77.78,1.0,6.0,75.0,
10,2010,27.2727,24.8062,,258.204,0.24,,,1073.1,10105.239,,,,,8.7719,55500.0,,,,,,51.7857,9.0,8.0,88.89,1.0,5.0,75.0,
11,2011,29.7521,24.8062,,276.433,0.248,,,1114.26,10270.7,,,,,19.2982,53300.0,,,,,,51.7857,9.0,8.0,88.889,1.0,5.0,75.0,
12,2012,29.7521,24.8062,,262.444,0.263,,,996.66,9713.05,,,,,19.2982,51500.0,,,,,,51.7857,9.0,8.0,88.889,1.0,5.0,75.0,
13,2013,28.5124,22.4806,,269.438,0.27,,,999.6,9321.25,,,,,19.2982,49700.0,,,,,,51.7857,10.0,9.0,90.0,1.0,6.0,75.0,
14,2014,29.3388,24.031,,250.933,0.237,,,1058.4,9321.25,,,,,19.2982,59500.0,,,,,,51.7857,10.0,9.0,90.0,1.0,6.0,75.0,
15,2015,30.1653,24.031,,274.173,0.259,,,1058.4,9596.46,,,,,19.2982,65300.0,,,,,,55.3571,11.0,10.0,90.909,1.0,5.0,75.0,
16,2016,30.1653,24.031,,276.699,0.246,,,1123.08,9550.27,,,,,19.2982,67800.0,,,,,,55.3571,11.0,9.0,81.818,1.0,7.0,75.0,
17,2017,30.1653,24.031,,259.757,0.224,,,1161.3,9783.46,,,,,19.2982,67200.0,,,,,,55.3571,10.0,8.0,80.0,1.0,6.0,75.0,
18,2018,30.1653,24.031,,248.801,0.209,,,1187.76,9909.9,,,,,19.2982,68000.0,,,,,,55.3571,11.0,9.0,81.818,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,63000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
