,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,364000.0,,,,,,,13.0,11.0,84.615,1.0,16.0,75.0,
8,2008,,,,,,,,,,,,,,,331000.0,,,,,,,15.0,13.0,86.667,1.0,17.0,75.0,
9,2009,15.7895,,,,,,,,,,,,,3.5088,322000.0,,,,,,55.3571,9.0,8.0,88.889,1.0,6.0,75.0,
10,2010,21.5311,12.5,,,,3124.723,,,,,,,,3.5088,317000.0,,,,,,55.3571,9.0,8.0,88.89,1.0,6.0,75.0,
11,2011,21.5311,12.5,,,,3073.094,,,,,,,,3.5088,321000.0,,,,,,55.3571,9.0,8.0,88.89,1.0,7.0,75.0,
12,2012,24.4019,18.75,,,,3020.01,,,,,,,,3.5088,331000.0,,,,,,55.3571,10.0,9.0,90.0,1.0,8.0,75.0,
13,2013,21.5311,6.25,,,,,,,,,,,,14.0351,340000.0,,,,,,55.3571,10.0,9.0,90.0,1.0,5.0,75.0,
14,2014,27.2727,18.75,,,,2708.72,,,,,,,,19.2982,365000.0,,,,,,50.0,11.0,10.0,90.909,1.0,6.0,,
15,2015,28.7081,18.75,,,,2638.39,,,,,,,,19.2982,371000.0,,,,,,55.3571,12.0,10.0,83.333,1.0,8.0,75.0,
16,2016,33.0144,22.9167,,,,2394.98,,,,,,,,22.807,385000.0,,,,,,60.7143,12.0,11.0,91.667,1.0,7.0,75.0,
17,2017,33.0144,22.9167,,,,2344.62,,,,,,,,22.807,406000.0,,,,,,60.7143,13.0,12.0,92.308,1.0,7.0,75.0,
18,2018,33.0144,22.9167,,,,2115.27,,,,,,,,22.807,413000.0,,,,,,60.7143,13.0,12.0,92.308,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,413000.0,,,,,,,14.0,13.0,92.857,1.0,6.0,74.87,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
