,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,31.1203,13.2231,,,,,,,,1.0,174.9,,0.279,32.8125,11975.0,45.0,36.0,,0.0,7.7,67.8571,12.0,8.0,66.667,3.0,12.0,75.0,0.0
6,2006,41.0788,19.8347,,,,,,,,0.58,194.0,,0.188,57.8125,12921.0,44.0,36.0,,0.0,5.5,67.8571,13.0,9.0,69.231,3.0,9.0,75.0,0.0
7,2007,51.0373,37.1901,,,,,11.3,,,1.188,109.492,,0.079,62.5,12071.0,41.0,38.0,,0.0,16.0,67.8571,13.0,9.0,69.231,3.0,8.0,75.0,0.0
8,2008,58.0913,51.2397,,,,11300.0,11.581,,,2.49,113.443,,1.188,62.5,12432.0,43.0,42.0,,0.0,21.0,67.8571,14.0,10.0,71.429,3.0,8.0,75.0,0.0
9,2009,71.7842,76.0331,3600.0,4200.0,0.347,4600.0,7.695,12093.9,,9.359,125.817,,0.264,67.1875,12229.0,40.0,37.0,131.0,0.0,13.0,67.8571,13.0,10.0,76.923,3.0,9.0,75.0,0.0
10,2010,72.6141,76.0331,3500.0,4300.0,0.348,4500.0,9.306,12348.9,,4.185,87.636,,0.096,67.1875,12587.0,40.0,31.0,137.0,0.0,18.0,71.4286,13.0,10.0,76.923,3.0,10.0,75.0,0.0
11,2011,78.0083,84.2975,4200.0,4900.0,0.385,5040.0,10.153,12742.8,14576.3,4.3,153.877,,0.16,71.875,13846.0,39.0,31.0,188.0,0.0,23.0,71.4286,13.0,10.0,76.923,3.0,9.0,75.0,0.0
12,2012,73.8589,80.1653,4700.0,5500.0,0.422,5800.0,11.038,13034.7,13156.3,8.7,206.6,,0.085,67.1875,14457.0,40.0,11.0,,1.0,36.4,67.8571,14.0,11.0,78.571,3.0,9.0,75.0,0.0
13,2013,71.3693,73.5537,4200.0,5000.0,0.479,5200.0,10.448,10435.3,11636.7,6.9,196.2,,0.55,64.0625,12128.0,43.0,13.0,,0.0,37.0,75.0,14.0,13.0,92.857,1.0,12.0,75.0,0.0
14,2014,71.7842,69.4215,4400.0,5000.0,0.523,5440.0,9.595,9562.78,10237.6,1.7,189.3,,0.084,73.4375,3045.0,28.0,14.0,,0.0,42.0,75.0,14.0,13.0,92.857,1.0,10.0,75.0,0.0
15,2015,69.7095,67.7686,4700.0,5200.0,0.518,5650.0,11.504,10041.1,9956.8,,,,0.025,73.4375,2770.0,27.0,19.0,,0.0,22.0,69.6429,14.0,13.0,92.857,1.0,8.0,75.0,
16,2016,69.7095,67.7686,4100.0,4600.0,0.433,4600.0,10.261,10623.9,8587.5,,,,0.024,73.4375,2304.0,27.0,12.0,,0.0,20.0,69.6429,13.0,12.0,92.308,1.0,8.0,75.0,
17,2017,70.9544,70.2479,3400.0,3800.0,0.413,4100.0,12.665,9200.28,8185.2,,,,0.842,73.4375,2075.0,28.0,12.0,,0.0,16.0,69.6429,12.0,11.0,91.667,1.0,9.0,75.0,
18,2018,69.7095,67.7686,3300.0,3600.0,0.423,3900.0,14.306,8514.72,4056.0,,,,0.075,73.4375,1708.0,26.0,13.0,,0.0,7.0,69.6429,12.0,11.0,91.667,1.0,10.0,75.0,
19,2019,,,,,,,,,,,,,,,1775.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
