,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,28.0702,21.4286,,,,127.974,,,,,,,,18.3333,31000.0,,,166.0,,,51.7857,11.0,9.0,81.818,1.0,8.0,75.0,
8,2008,36.8421,30.3571,,,,122.333,,331.891,,,,,,30.0,31000.0,,,104.0,,,57.1429,11.0,9.0,81.818,1.0,16.0,75.0,0.565
9,2009,39.0351,33.9286,,,,120.807,,443.325,,,,,,31.6667,28000.0,,,131.0,,,57.1429,9.0,8.0,88.889,1.0,19.0,74.55,0.457
10,2010,37.2807,36.6071,,,,107.626,,295.194,,,,,,25.0,26800.0,,,,,,51.7857,9.0,8.0,88.889,1.0,11.0,96.4,
11,2011,39.0351,39.2857,,,,102.248,,295.747,,,,,,21.6667,24400.0,,,,,,57.1429,9.0,8.0,88.889,1.0,9.0,96.2,
12,2012,41.2281,44.6429,,,,85.032,,242.08,827.912,,,,,16.6667,22500.0,,,,,0.465,60.7143,9.0,8.0,88.889,1.0,11.0,95.0,
13,2013,41.2281,44.6429,,,,74.364,,230.705,460.025,,,,,16.6667,18800.0,,,,,0.468,60.7143,10.0,9.0,90.0,1.0,9.0,96.0,
14,2014,42.5439,44.6429,,,,62.362,,196.118,396.503,,,,,21.6667,17500.0,59.0,,,,0.45,60.7143,11.0,9.0,81.818,1.0,12.0,94.0,
15,2015,39.9123,39.2857,,,,50.632,,178.928,,,,,,16.6667,17400.0,59.0,,,,,66.0714,11.0,10.0,90.909,1.0,7.0,92.0,
16,2016,44.7368,41.0714,16.094,,,42.183,,149.81,,,,,,21.6667,16900.0,58.8,,,,6.0,76.7857,11.0,10.0,90.909,1.0,7.0,75.0,0.232
17,2017,50.4386,45.5357,14.665,,,35.975,,137.925,,,,,,36.6667,16400.0,58.0,,,,7.0,75.0,13.0,12.0,92.308,1.0,7.0,75.0,
18,2018,53.0702,45.5357,13.905,,,34.224,,130.296,207.22,,,,,46.6667,18500.0,60.0,36.0,,,12.3,75.0,12.0,11.0,91.667,1.0,9.0,75.0,
19,2019,,,,,,,,,,,,,,,19500.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
