,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2012,32.6446,23.2558,,4540.0,0.445,,,10201.8,69997.602,,242.8,,,38.5965,147000.0,,,,,0.1,48.2143,6.0,1.0,16.667,1.0,,,
13,2013,38.0165,29.4574,,,,2475.82,,5553.68,68516.602,,,,,38.5965,152000.0,,,,,0.15,57.1429,9.0,3.0,33.333,1.0,6.0,100.0,
14,2014,39.2562,31.7829,,,,2656.97,,6676.34,67557.297,,,,,38.5965,157000.0,51.0,,,,,57.1429,9.0,3.0,33.333,1.0,5.0,100.0,
15,2015,30.5785,17.8295,,,,,,,66611.5,,,,,33.3333,164000.0,,,,,,57.1429,8.0,5.0,62.5,1.0,8.0,75.0,
16,2016,38.843,31.0078,,,,2358.85,,16454.0,131300.0,,467.228,,,38.5965,169000.0,50.0,,,,,57.1429,8.0,5.0,62.5,1.0,7.0,75.0,
17,2017,43.8017,36.4341,,,,2316.71,,17040.699,136900.0,,489.473,,,38.5965,163000.0,50.0,,,,,66.0714,10.0,7.0,70.0,1.0,4.0,75.0,
18,2018,42.562,36.4341,,,,2407.1,,17812.699,142500.0,,512.238,,,33.3333,169000.0,,,,,,66.0714,9.0,7.0,77.778,1.0,4.0,75.0,
19,2019,,,,,,,,,,,,,,,173000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
