,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,2.3256,,,,,,,,,,,,3.5088,9000.0,,,,,,51.7857,11.0,8.0,72.727,3.0,5.0,75.0,
8,2008,14.0496,2.3256,,,,,,,,,,,,3.5088,9300.0,,,,,,51.7857,12.0,10.0,83.333,3.0,7.0,75.0,
9,2009,14.0496,2.3256,,,,,,,,,,,,3.5088,7300.0,,,,,,51.7857,12.0,10.0,83.333,3.0,11.0,74.67,
10,2010,30.1653,31.0078,,,,173.628,,434.891,482.056,,16.859,0.0,0.0,3.5088,6300.0,,,,,,55.3571,13.0,11.0,84.615,3.0,7.0,75.0,
11,2011,,,,,,172.67,,404.621,367.193,,14.628,0.0,0.0,,6000.0,,,,,,,12.0,10.0,83.333,1.0,5.0,75.0,
12,2012,35.5372,36.4341,,,,161.769,,362.704,349.61,,12.373,0.0,0.0,14.0351,5800.0,,,,,,55.3571,13.0,11.0,84.615,1.0,5.0,75.0,
13,2013,36.7769,38.7597,,,,161.329,,384.763,387.946,,14.043,0.0,0.0,14.0351,5800.0,,,,,,55.3571,13.0,11.0,84.615,1.0,5.0,75.0,
14,2014,38.0165,38.7597,,,,166.938,,401.072,294.599,,14.584,0.0,0.0,19.2982,5900.0,,,,,,55.3571,12.0,10.0,83.333,1.0,5.0,75.0,
15,2015,40.4959,38.7597,,,,147.034,,379.786,315.784,,16.843,0.0,0.0,24.5614,5700.0,,,,,,60.7143,11.0,9.0,81.818,1.0,5.0,75.0,0.0
16,2016,37.1901,37.2093,,,,131.982,,374.582,340.514,,12.876,0.0,0.0,19.2982,6000.0,,,,,,55.3571,11.0,9.0,81.818,1.0,4.0,75.0,
17,2017,36.7769,36.4341,,,,127.013,,362.076,371.188,,11.924,0.0,0.0,19.2982,5800.0,,,,,,55.3571,10.0,9.0,90.0,1.0,4.0,75.0,
18,2018,39.6694,37.2093,,,,144.249,,415.477,524.107,0.775,14.243,,,29.8246,5900.0,29.3,,,,,55.3571,10.0,9.0,90.0,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
