,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,13.6364,,,,,,,,,,,,,3.5088,122000.0,,,,,,55.3571,10.0,9.0,90.0,1.0,8.0,75.0,
8,2008,13.6364,,,,,,,,,,,,,3.5088,128000.0,,,,,,55.3571,10.0,9.0,90.0,1.0,8.0,95.6,
9,2009,14.4628,1.5504,,,,,,,,,,,,3.5088,122000.0,,,,,,55.3571,10.0,9.0,90.0,1.0,7.0,96.0,
10,2010,20.6612,8.5271,,,,,,,,,,,,14.0351,130000.0,,,,,,55.3571,10.0,9.0,90.0,1.0,9.0,96.0,
11,2011,,,,,,8205.0,,,,,,,,,132000.0,,,,,,,10.0,9.0,90.0,1.0,7.0,95.0,
12,2012,30.9917,25.5814,,,,7289.119,,10800.295,,,,,,19.2982,132000.0,,,,,,55.3571,11.0,10.0,90.91,1.0,7.0,96.0,
13,2013,32.2314,27.907,,,,6107.43,,10781.4,,,,,,14.0351,131000.0,,,,,,60.7143,12.0,11.0,91.667,1.0,7.0,95.0,
14,2014,33.8843,27.1318,,,,5759.99,,10717.5,,,,,,19.2982,127000.0,,,,,,64.2857,12.0,11.0,91.667,1.0,7.0,95.0,0.0
15,2015,37.1901,33.3333,,,,5262.14,,10299.6,,,,,,19.2982,129000.0,,,,,,64.2857,13.0,12.0,92.308,1.0,7.0,99.0,0.0
16,2016,30.1653,20.155,,,,4218.43,,,,,,,,19.2982,131000.0,,,,,,64.2857,13.0,11.0,84.615,1.0,12.0,98.0,0.0
17,2017,29.3388,18.6047,,,,2583.88,,,,,,,,19.2982,131000.0,,,,,,64.2857,13.0,11.0,84.615,1.0,7.0,97.0,0.0
18,2018,30.9917,21.7054,,,,2527.99,,,,,,,,19.2982,114000.0,,,,,,64.2857,12.0,11.0,91.667,1.0,7.0,100.0,0.0
19,2019,,,,,,,,,,,,,,,113000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
