,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,4973.0,,,,,,,8.0,6.0,75.0,3.0,5.0,75.0,
8,2008,,,,,,,,,,,,,,,6184.0,,,,,,,8.0,7.0,87.5,3.0,6.0,75.0,
9,2009,,,,,,,,,,,,,,,4237.0,,,,,,,8.0,7.0,87.5,3.0,4.0,75.0,
10,2010,,,,,,,,,,,,,,,6383.0,,,,,,,8.0,6.0,75.0,3.0,4.0,75.0,
11,2011,,,,,,,,,,,,,,,8724.0,,,,,,,8.0,6.0,75.0,3.0,4.0,75.0,
12,2012,,,,,,,,,,,,,,,9429.0,,,,,,,10.0,8.0,80.0,3.0,4.0,75.0,
13,2013,13.6364,1.5504,,,,,,,,,,,,3.5088,10333.0,,,,,,51.7857,10.0,8.0,80.0,3.0,5.0,75.0,
14,2014,13.6364,1.5504,,,,,,,,,,,,3.5088,11914.0,,,,,,51.7857,10.0,8.0,80.0,1.0,4.0,75.0,
15,2015,16.9421,1.5504,,,,,,,,,,,,17.5439,6738.0,,,,,,51.7857,10.0,8.0,80.0,1.0,4.0,75.0,
16,2016,16.9421,1.5504,,,,,,,,,,,,17.5439,4840.0,,,,,,51.7857,8.0,6.0,75.0,1.0,4.0,73.0,
17,2017,19.8347,8.5271,,,,,,,,,,,,14.0351,8123.0,,,,,,51.7857,10.0,8.0,80.0,1.0,6.0,75.0,
18,2018,20.6612,8.5271,,,,,,,,,,,,14.0351,9777.0,,,,,,55.3571,11.0,9.0,81.818,1.0,4.0,75.0,
19,2019,,,,,,,,,,,,,,,8510.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
