,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2016,52.4793,48.062,,,,1528.3,,4071.61,4675.6,0.341,43.241,,,47.3684,195000.0,31.51,19.61,,,,67.8571,14.0,11.0,78.571,1.0,17.0,75.0,0.914
17,2017,55.7851,56.5891,,,,468.425,0.151,891.537,2258.79,0.109,13.309,,,42.1053,66141.0,31.73,,,,,67.8571,13.0,11.0,84.615,1.0,13.0,75.0,0.144
18,2018,54.9587,52.7132,,,,403.018,0.124,782.151,2082.29,0.113,13.321,,,52.6316,61743.0,31.88,21.35,,,,62.5,12.0,9.0,75.0,1.0,9.0,75.0,
19,2019,,,,,,,,,,,,,,,61600.0,,,,,,,,,,1.0,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
