,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,36.3636,32.5581,,,,1551.3,0.134,3231.4,,7.001,103.959,1.0,0.008,28.0702,150000.0,29.8,,,,45.3,53.5714,11.0,9.0,81.818,1.0,16.0,75.0,
6,2006,52.0661,47.2868,,,,1598.5,0.101,,8358.0,8.64,114.64,1.0,0.001,47.3684,150000.0,29.9,21.7,,2.0,12.6,67.8571,8.0,7.0,87.5,1.0,17.0,75.0,0.952
7,2007,47.1074,41.8605,,,,1516.3,,3060.6,7359.0,8.83,98.13,,,43.8596,172000.0,30.0,21.5,,0.0,13.4,62.5,10.0,9.0,90.0,1.0,9.0,75.0,1.114
8,2008,46.281,42.6357,,,,2165.5,,4441.0,7225.0,10.5,102.3,,,43.8596,321000.0,30.1,22.0,,,52.5,57.1429,11.0,10.0,90.909,1.0,8.0,75.0,1.255
9,2009,48.7603,47.2868,,,,2212.1,,4249.0,7647.0,6.83,124.83,,,38.5965,304000.0,32.9,,,,,62.5,11.0,10.0,90.909,1.0,10.0,75.0,1.312
10,2010,49.1736,46.5116,,,,2057.3,,4334.0,8535.0,8.43,100.93,,,42.1053,324600.0,32.9,,,,,62.5,10.0,9.0,90.0,1.0,34.0,75.0,1.663
11,2011,53.3058,48.062,,,,1989.8,,4239.0,8309.0,7.4,90.3,,,52.6316,345000.0,32.0,,,,,66.0714,13.0,11.0,84.615,1.0,18.0,75.0,1.679
12,2012,53.3058,48.062,,,,1889.0,,4109.0,8493.0,8.06,125.46,,,52.6316,331800.0,32.91,,,,,66.0714,11.0,8.0,72.727,1.0,11.0,75.0,1.952
13,2013,50.0,46.5116,,,,1795.0,,4026.0,7782.0,7.92,78.62,,,42.1053,317500.0,31.6,,,,,66.0714,12.0,9.0,75.0,1.0,9.0,75.0,1.5270000000000001
14,2014,51.2397,46.5116,,,,1667.7,,3852.0,7524.0,6.47,69.67,,,42.1053,302000.0,32.6,,,,,71.4286,12.0,9.0,75.0,1.0,17.0,75.0,1.693
15,2015,52.4793,50.3876,167.877,,,1844.5,,3698.0,7274.0,6.85,70.05,,,42.1053,287000.0,33.0,,,,,67.8571,12.0,10.0,83.333,1.0,16.0,75.0,0.788
16,2016,53.3058,49.6124,,,,418.4,,879.0,3299.0,5.5600000000000005,33.36,,,47.3684,48613.0,37.2,,,,9.1,67.8571,13.0,11.0,84.615,1.0,8.0,75.0,0.914
17,2017,54.1322,51.1628,,,,371.5,,890.958,3216.0,5.41,34.91,,,47.3684,66141.0,31.73,,,,14.2,67.8571,10.0,9.0,90.0,1.0,6.0,75.0,0.444
18,2018,56.6116,53.4884,,,,318.2,,758.898,3406.0,6.91,38.91,,,52.6316,53421.0,36.0,,,,11.42,67.8571,10.0,9.0,90.0,1.0,7.0,75.0,0.3
19,2019,,,,,,,,,,,,,,,56000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
