,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,33.8843,24.8062,,,,,0.163,,12926.9,,40.692,,,28.0702,18100.0,34.7,,,,2.142,60.7143,14.0,10.0,71.429,1.0,6.0,90.0,
7,2007,55.3719,51.938,288.0,797.0,0.361,1359.0,,2206.0,18809.0,,,2.0,0.0,57.8947,18500.0,35.0,20.6,,,2.6,60.7143,13.0,10.0,76.923,1.0,7.0,88.0,
8,2008,55.3719,51.938,306.0,833.0,0.356,1219.0,,2338.0,20105.0,,,13.0,0.0,57.8947,19000.0,34.0,21.1,,,3.9,60.7143,13.0,10.0,76.923,1.0,6.0,83.0,
9,2009,52.4793,48.8372,360.0,978.0,0.334,1343.0,,2931.0,19423.0,,,1.0,0.0,52.6316,18606.0,34.0,21.5,,,4.2,60.7143,14.0,10.0,71.429,1.0,7.0,89.0,
10,2010,53.719,48.8372,338.0,968.0,0.372,1388.0,,2601.0,19429.0,,,0.0,0.0,47.3684,19300.0,34.0,,,,5.7,71.4286,12.0,10.0,83.333,1.0,7.0,83.0,
11,2011,57.0248,51.1628,397.0,1022.0,0.35,1391.0,,2922.0,18599.0,,,0.0,0.0,56.1404,19500.0,33.0,24.0,,,5.5,71.4286,12.0,10.0,83.333,1.0,6.0,75.0,
12,2012,46.281,38.7597,,,,1446.33,,2094.0,18600.0,,139.6,1.0,0.0,49.1228,19700.0,36.0,,,0.0,7.6,60.7143,12.0,10.0,83.333,1.0,8.0,75.0,
13,2013,58.2645,56.5891,231.0,721.0,0.368,725.0,,1960.25,18236.0,0.95,66.98,2.0,0.0,49.1228,19800.0,36.0,,,,9.1,71.4286,11.0,10.0,90.909,1.0,7.0,75.0,0.406
14,2014,56.1983,52.7132,433.0,1028.0,0.339,1463.0,,3033.0,22125.0,,147.0,1.0,0.0,49.1228,20444.0,34.0,,,,9.0,71.4286,14.0,12.0,85.714,1.0,8.0,75.0,0.422
15,2015,57.0248,54.2636,531.0,1119.0,0.384,1457.0,,2911.0,21930.0,,168.0,8.0,,49.1228,20713.0,35.0,,,,7.774,71.4286,15.0,12.0,80.0,1.0,8.0,75.0,0.486
16,2016,39.2562,25.5814,,,,844.0,,,18890.1,,,4.0,,49.1228,21000.0,35.0,,,,10.9,60.7143,15.0,12.0,80.0,1.0,8.0,75.0,
17,2017,40.4959,25.5814,,,,637.0,,,17413.699,,,4.0,,54.386,19893.0,36.0,,,,7.8,60.7143,14.0,12.0,85.714,1.0,10.0,75.0,
18,2018,40.4959,25.5814,,,,694.0,,,15142.3,,,3.0,,54.386,20000.0,37.0,,,,15.0,60.7143,12.0,11.0,91.667,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,18800.0,,,,,,,14.0,13.0,92.857,1.0,7.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
