,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,13.2231,,,,,,,,,,,,,8.7719,12000.0,,,,,,48.2143,13.0,8.0,61.54,2.0,7.0,75.0,
8,2008,13.2231,,,,,,,,,,,,,8.7719,12500.0,,,,,,48.2143,13.0,9.0,69.23,2.0,6.0,75.0,
9,2009,13.2231,,,,,,,,,,,,,8.7719,12500.0,,,,,,48.2143,13.0,8.0,61.54,2.0,7.0,100.0,
10,2010,13.2231,,,,,,,,,,,,,8.7719,13500.0,,,,,,48.2143,13.0,8.0,61.538,1.0,9.0,75.0,
11,2011,13.2231,,,,,,,,,,,,,8.7719,15000.0,,,,,,48.2143,13.0,8.0,61.539,1.0,6.0,75.0,
12,2012,20.2479,6.9767,,,,,,,,,,,,19.2982,15000.0,,,,,,51.7857,14.0,9.0,64.286,1.0,6.0,75.0,
13,2013,20.2479,6.9767,,,,,,,,,,,,19.2982,16000.0,,,,,,51.7857,14.0,9.0,64.286,1.0,7.0,75.0,
14,2014,20.2479,6.9767,,,,,,,,,,,,19.2982,17500.0,,,,,,51.7857,15.0,10.0,66.667,1.0,8.0,75.0,
15,2015,21.0744,6.9767,,,,,,,,,,,,19.2982,19000.0,,,,,,55.3571,15.0,10.0,66.667,1.0,7.0,75.0,
16,2016,24.7934,13.9535,,,,,,,,,,,,19.2982,21000.0,,,,,,55.3571,15.0,10.0,66.667,1.0,7.0,75.0,
17,2017,27.2727,14.7287,,,,,,,,,,,,28.0702,22000.0,,,,,,55.3571,15.0,10.0,66.667,1.0,8.0,75.0,
18,2018,27.2727,14.7287,,,,,,,,,,,,28.0702,18800.0,,,,,,55.3571,15.0,10.0,66.667,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
