,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,243.0,,,,,,51.7857,7.0,5.0,71.429,1.0,8.0,75.0,
8,2008,14.0496,,,,,,,,,,,,,8.7719,215.0,,,,,,51.7857,7.0,5.0,71.429,1.0,5.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,186.0,,,,,,51.7857,8.0,6.0,75.0,1.0,7.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,203.0,,,,,,51.7857,8.0,6.0,75.0,1.0,5.0,75.0,
11,2011,17.7686,,,,,,,,,,,,,24.5614,219.0,,,,,,51.7857,8.0,7.0,87.5,1.0,5.0,80.0,
12,2012,17.7686,,,,,,,,,,,,,24.5614,233.0,,,,,,51.7857,9.0,7.0,77.78,1.0,6.0,80.0,
13,2013,23.9669,11.6279,,,,590.056,,1761.36,13981.7,,,,,24.5614,242.0,,,,,,51.7857,10.0,8.0,80.0,1.0,5.0,80.0,
14,2014,27.686,18.6047,,,,547.657,,1637.91,13968.1,,,,,24.5614,251.0,,,,,,51.7857,9.0,7.0,77.778,1.0,5.0,80.0,
15,2015,35.5372,24.8062,,,,480.295,,1503.58,11260.5,,,,,33.3333,240.0,52.0,,,0.0,,62.5,9.0,7.0,77.778,1.0,5.0,80.0,
16,2016,32.2314,25.5814,,,,464.249,,1445.21,10751.9,,,,,22.807,220.0,,,,,,57.1429,10.0,8.0,80.0,1.0,7.0,80.0,
17,2017,49.5868,44.186,103.906,,,413.504,,1350.98,9829.32,,38.637,,,43.8596,205.0,54.0,,,,,67.8571,11.0,9.0,81.818,1.0,4.0,80.0,0.0
18,2018,48.3471,41.8605,,,,389.904,,1352.6,10126.0,,33.637,,,49.1228,184.0,56.0,,,0.0,,62.5,11.0,9.0,81.818,1.0,4.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
