,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,19.0083,6.9767,,,,,,,,,,,,14.0351,11000.0,,,,0.0,,51.7857,11.0,9.0,81.82,1.0,11.0,96.0,
8,2008,22.314,11.6279,,,,366.847,,,,,,,,14.0351,12800.0,,,,0.0,,55.3571,10.0,9.0,90.0,1.0,11.0,96.0,
9,2009,32.2314,21.7054,,,,371.911,,,,,31.961,,,28.0702,12100.0,,,,0.0,12.773,60.7143,7.0,6.0,85.714,1.0,14.0,95.0,
10,2010,30.9917,21.7054,,,,410.225,,,,,34.45,,,28.0702,11300.0,,,,0.0,8.261,55.3571,8.0,7.0,87.5,1.0,15.0,97.0,
11,2011,41.7355,37.2093,,,,410.848,0.18,,14917.5,0.024,37.481,,,28.0702,11800.0,,,,1.0,9.139,66.0714,10.0,9.0,90.0,1.0,13.0,97.0,
12,2012,38.4298,31.0078,,,,373.486,0.18,,,,35.714,,,33.3333,14200.0,,,,0.0,8.93,60.7143,10.0,9.0,90.0,1.0,8.0,97.0,
13,2013,40.9091,33.3333,,,,325.745,0.128,,,,40.078,,,33.3333,14800.0,,,,0.0,9.4,66.0714,11.0,10.0,90.909,1.0,9.0,94.0,
14,2014,42.9752,37.2093,,,,320.52,0.132,,,0.013,42.189,,,38.5965,20800.0,43.0,,,0.0,14.31,60.7143,11.0,10.0,90.909,1.0,7.0,97.0,
15,2015,45.4545,39.5349,,,,307.733,0.063,,,0.014,39.92,,,43.8596,20710.0,51.0,,,0.0,10.6,60.7143,11.0,10.0,90.909,1.0,10.0,97.0,
16,2016,45.4545,39.5349,,,,301.301,0.067,,,0.014,43.524,,,43.8596,17980.0,49.9,,,0.0,16.27,60.7143,11.0,10.0,90.909,1.0,13.0,94.0,
17,2017,45.4545,39.5349,,,,299.484,0.076,,4890.9,0.012,43.248,,,43.8596,16910.0,50.0,,,0.0,20.4,60.7143,13.0,11.0,84.615,1.0,12.0,88.0,
18,2018,52.8926,51.1628,,,,310.814,0.077,1078.82,2603.73,0.016,49.322,,,49.1228,16422.0,48.69,,,0.0,20.637,60.7143,11.0,10.0,90.909,1.0,11.0,95.0,
19,2019,,,,,,,,,,,,,,,16140.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
