,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,,,,,,,,,,,,,8.7719,25000.0,,,,,,51.7857,8.0,7.0,87.5,1.0,9.0,75.0,
8,2008,17.7686,6.9767,,,,137.218,,,,,,,,8.7719,28900.0,,,,,,51.7857,9.0,8.0,88.889,1.0,8.0,75.0,
9,2009,16.5289,2.3256,,,,,,,,,,,,14.0351,28100.0,,,,,,51.7857,11.0,10.0,90.909,1.0,7.0,75.0,
10,2010,28.9256,14.7287,,,,,,193.626,,,,,,33.3333,35200.0,,,,,10.3,57.1429,11.0,10.0,90.909,1.0,7.0,75.0,0.567
11,2011,33.8843,24.031,,,,,,195.57,,,,,,28.0702,40000.0,,,,,14.636,62.5,10.0,9.0,90.0,1.0,9.0,75.0,0.504
12,2012,33.8843,28.6822,,,,124.565,,56.565,,0.069,5.369,,,28.0702,43400.0,,,,,10.7,51.7857,10.0,9.0,90.0,1.0,10.0,75.0,
13,2013,34.2975,28.6822,,,,148.526,,82.322,,0.067,8.289,,,28.0702,52000.0,,,,,10.5,53.5714,11.0,9.0,81.818,1.0,8.0,75.0,
14,2014,39.2562,34.1085,,,,129.2,,259.703,,0.02,8.578,,,33.3333,56283.0,72.72,,,,10.1,57.1429,10.0,9.0,90.0,1.0,8.0,75.0,
15,2015,40.4959,36.4341,,,,121.876,,251.922,,0.021,9.158,,,33.3333,50074.0,73.53,,,,12.6,57.1429,10.0,9.0,90.0,1.0,21.0,75.0,
16,2016,30.5785,15.5039,,,,,,254.087,,,,,,33.3333,51730.0,74.35,,,,5.16,62.5,10.0,9.0,90.0,1.0,19.0,75.0,
17,2017,40.0826,34.1085,16.166,,,112.464,,261.618,,,6.841,,,33.3333,43695.0,70.76,,,,8.199,60.7143,12.0,11.0,91.667,1.0,19.0,,
18,2018,43.8017,34.1085,,,,102.686,,239.909,,0.019,6.777,,,49.1228,41600.0,70.0,44.0,,,15.9,60.7143,12.0,11.0,91.667,1.0,17.0,,
19,2019,,,,,,,,,,,,,,,46000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
