,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,27.2727,18.6047,,2489.0,0.374,,,6653.22,,12.5,120.5,0.0,0.0,22.807,329373.0,28.4,24.9,,,148.5,51.7857,13.0,11.0,84.615,1.0,10.0,93.0,
6,2006,42.9752,39.5349,,2420.0,0.366,2824.36,,6612.35,,10.6,144.6,0.0,0.0,36.8421,355766.0,28.5,24.5,,,152.1,57.1429,12.0,11.0,91.667,1.0,10.0,91.0,
7,2007,43.8017,41.0853,,2541.0,0.366,2865.12,,6949.57,,12.054,119.054,1.0,0.001,36.8421,386558.0,28.8,24.8,,,166.6,57.1429,13.0,12.0,92.308,1.0,10.0,92.0,
8,2008,44.2149,41.8605,,2502.0,0.379,2961.79,,6598.24,,8.343,103.134,0.0,0.0,36.8421,400000.0,28.9,24.5,,,179.6,57.1429,12.0,10.0,83.333,1.0,10.0,90.0,
9,2009,40.4959,34.8837,,2436.0,0.385,,,6323.06,,8.187,87.326,2.0,0.03,36.8421,400000.0,28.7,24.6,,,185.9,57.1429,13.0,11.0,84.615,1.0,10.0,93.0,
10,2010,42.9752,37.2093,,2156.0,0.339,,,6356.87,,8.4,79.5,0.0,0.0,36.8421,425000.0,28.1,24.8,,,189.2,62.5,14.0,12.0,85.714,1.0,10.0,94.0,0.0
11,2011,51.2397,52.7132,197.914,,,2727.37,0.206,6377.21,11483.0,7.699,77.731,0.0,0.0,42.1053,433362.0,28.5,21.5,,2.0,196.1,57.1429,12.0,11.0,91.667,1.0,10.0,95.0,
12,2012,59.5041,65.8915,220.851,2195.0,0.342,2750.04,0.213,6422.13,11661.0,7.386,76.249,3.0,0.075,47.3684,434246.0,30.0,25.6,162.0,,197.1,57.1429,13.0,11.0,84.615,1.0,10.0,75.0,
13,2013,61.5702,69.7674,225.514,2186.0,0.347,2493.06,0.212,6297.3,11390.0,7.452,72.515,0.0,0.0,47.3684,431212.0,30.1,26.0,162.0,0.0,207.9,57.1429,13.0,11.0,84.615,1.0,9.0,75.0,
14,2014,65.7025,72.8682,226.187,2092.0,0.339,2438.66,0.222,6173.4,10152.0,4.04,110.729,4.0,0.007,47.3684,379592.0,31.1,26.5,156.0,0.0,210.4,67.8571,13.0,11.0,84.615,1.0,9.0,94.0,
15,2015,61.9835,68.2171,187.553,,,1787.5,0.172,5375.73,5750.0,2.737,56.23,0.0,0.0,42.1053,377757.0,31.4,26.4,,0.0,205.0,67.8571,14.0,12.0,85.714,1.0,9.0,97.0,
16,2016,55.3719,58.1395,118.343,,,1619.07,,4373.54,,1.3599999999999999,45.36,0.0,0.0,42.1053,400000.0,31.8,26.7,,,257.8,62.5,14.0,13.0,92.857,1.0,9.0,96.0,
17,2017,55.7851,63.5659,111.807,,,1496.52,,4192.52,1610.66,1.46,38.36,0.0,0.0,31.5789,366600.0,,,,,332.5,62.5,15.0,14.0,93.333,1.0,9.0,96.0,
18,2018,52.4793,57.3643,111.46,,,1257.66,,4666.51,1604.1,,35.96,0.0,0.0,31.5789,350600.0,,,,,392.8,62.5,13.0,12.0,92.308,1.0,9.0,95.0,
19,2019,,,,,,,,,,,,,,,352600.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
