,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,4700.0,,,,,,,8.0,7.0,87.5,,6.0,75.0,
9,2009,12.3967,,,,,,,,,,,,,3.5088,4800.0,,,,,,50.0,8.0,7.0,87.5,,5.0,75.0,
10,2010,11.9835,,,,,,,,,,,,,,,,,,,,51.7857,8.0,7.0,87.5,3.0,6.0,75.0,
11,2011,11.9835,,,,,,,,,,,,,,,,,,,,51.7857,8.0,7.0,87.5,3.0,7.0,75.0,
12,2012,11.9835,,,,,,,,,,,,,,,,,,,,51.7857,9.0,8.0,88.889,3.0,5.0,75.0,
13,2013,11.9835,,,,,,,,,,,,,,,,,,,,51.7857,9.0,8.0,88.889,3.0,7.0,75.0,
14,2014,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,88.889,3.0,7.0,75.0,
15,2015,13.6364,,,,,,,,,,,,,3.5088,6800.0,,,,,,55.3571,9.0,8.0,88.889,3.0,6.0,75.0,
16,2016,13.6364,,,,,,,,,,,,,3.5088,7365.0,,,,,,55.3571,10.0,9.0,90.0,3.0,5.0,100.0,
17,2017,22.314,6.9767,,,,,,,,,,,,24.5614,7600.0,,,,,2.6,55.3571,9.0,8.0,88.889,3.0,6.0,75.0,
18,2018,20.6612,8.5271,,,,,,,,,,,,14.0351,8377.0,,,,,,55.3571,8.0,7.0,87.5,3.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,9200.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
