,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,11.157,,,,,,,,,,,,,,,,,,,,48.2143,7.0,6.0,85.714,3.0,7.0,75.0,
8,2008,,,,,,,,,,,,,,,5813.0,,,,,,,8.0,7.0,87.5,3.0,6.0,75.0,
9,2009,16.5289,,,,,,,,,,,,,19.2982,5300.0,,,,,,51.7857,8.0,7.0,87.5,3.0,6.0,75.0,
10,2010,16.5289,,,,,,,,,,,,,19.2982,5966.0,,,,,,51.7857,9.0,8.0,88.889,3.0,6.0,75.0,
11,2011,16.5289,,,,,,,,,,,,,19.2982,6814.0,,,,,,51.7857,10.0,9.0,90.0,3.0,7.0,75.0,
12,2012,16.5289,,,,,,,,,,,,,19.2982,6717.0,,,,,,51.7857,9.0,8.0,88.889,3.0,7.0,75.0,
13,2013,16.5289,,,,,,,,,,,,,19.2982,6787.0,,,,,,51.7857,9.0,8.0,88.889,3.0,6.0,75.0,
14,2014,16.5289,,,,,,,,,,,,,19.2982,6712.0,,,,,,51.7857,9.0,8.0,88.889,3.0,6.0,75.0,
15,2015,16.5289,,,,,,,,,,,,,19.2982,6801.0,,,,,,51.7857,8.0,7.0,87.5,3.0,6.0,75.0,
16,2016,16.5289,,,,,,,,,,,,,19.2982,7158.0,,,,,,51.7857,9.0,8.0,88.889,3.0,8.0,75.0,
17,2017,19.8347,4.6512,,,,,,,,,,,,19.2982,7167.0,,,,,,55.3571,8.0,7.0,87.5,3.0,12.0,75.0,
18,2018,23.1405,9.3023,,,,,,,,,,,,22.807,7352.0,,,,,,55.3571,9.0,8.0,88.889,3.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,7439.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
