,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,5315.0,,,,,,51.7857,11.0,10.0,90.909,1.0,7.0,75.0,
8,2008,13.6364,,,,,,,,,,,,,3.5088,5338.0,,,,,,55.3571,13.0,12.0,92.308,1.0,6.0,75.0,
9,2009,13.6364,,,,,,,,,,,,,3.5088,5400.0,,,,,,55.3571,11.0,10.0,90.909,1.0,10.0,75.0,
10,2010,45.0413,38.7597,124.753,249.74,0.3,,,831.428,8200.0,18.0,,,,38.5965,5500.0,36.0,,,,0.08,66.0714,11.0,10.0,90.91,1.0,6.0,75.0,0.0
11,2011,46.6942,39.5349,116.072,235.095,0.275,,,856.305,,,,,,38.5965,5600.0,36.0,,,,0.12,71.4286,12.0,11.0,91.667,1.0,7.0,75.0,
12,2012,40.0826,33.3333,,,,216.794,,806.398,,,,,,28.0702,5700.0,,,,,,67.8571,11.0,10.0,90.91,1.0,7.0,75.0,
13,2013,40.0826,33.3333,,,,228.566,,763.746,,,,,,28.0702,6000.0,,,,,,67.8571,12.0,11.0,91.667,1.0,6.0,75.0,
14,2014,40.0826,35.6589,,,,242.924,,786.437,,,,,,28.0702,6200.0,,,,,,62.5,12.0,11.0,91.667,1.0,6.0,75.0,
15,2015,50.0,47.2868,,,,257.558,,812.357,,24.21,47.819,,,43.8596,7158.0,37.0,,,,,62.5,10.0,9.0,90.0,1.0,5.0,75.0,
16,2016,61.157,65.8915,107.701,227.86,0.293,247.614,0.032,778.552,,23.94,46.27,,,43.8596,7563.0,38.0,,,,,67.8571,11.0,10.0,90.909,1.0,6.0,75.0,0.0
17,2017,64.4628,69.7674,113.811,205.973,0.258,206.583,0.034,796.862,3025.94,17.823,38.867,,,49.1228,7299.0,39.0,,,,,67.8571,12.0,11.0,91.667,1.0,6.0,75.0,0.0
18,2018,64.0496,71.3178,124.408,206.358,0.233,210.426,0.04,884.247,3390.0,17.99,44.84,,,49.1228,7639.0,39.0,,,,,62.5,11.0,10.0,90.909,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
