,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,11.5702,,,,,,,,,,,,,3.5088,1536.0,,,,,,46.4286,9.0,8.0,88.889,,10.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,1781.0,,,,,,51.7857,8.0,7.0,87.5,3.0,12.0,75.0,
10,2010,11.157,,,,,,,,,,,,,,,,,,,,48.2143,9.0,8.0,88.889,3.0,8.0,75.0,
11,2011,12.8099,,,,,,,,,,,,,3.5088,2200.0,,,,,,51.7857,9.0,8.0,88.889,3.0,8.0,75.0,
12,2012,12.8099,,,,,,,,,,,,,3.5088,2400.0,,,,,,51.7857,10.0,9.0,90.0,3.0,18.0,75.0,
13,2013,12.8099,,,,,,,,,,,,,3.5088,3000.0,,,,,,51.7857,9.0,8.0,88.889,3.0,10.0,75.0,
14,2014,12.8099,,,,,,,,,,,,,3.5088,3700.0,,,,,,51.7857,11.0,9.0,81.818,3.0,9.0,75.0,
15,2015,12.8099,,,,,,,,,,,,,3.5088,4600.0,,,,,,51.7857,10.0,8.0,80.0,3.0,8.0,75.0,
16,2016,15.2893,,,,,,,,,,,,,14.0351,5500.0,,,,,,51.7857,9.0,7.0,77.778,3.0,8.0,75.0,
17,2017,15.2893,,,,,,,,,,,,,14.0351,6200.0,,,,,,51.7857,10.0,8.0,80.0,3.0,6.0,75.0,
18,2018,21.4876,4.6512,,,,,,,,,,,,29.8246,7300.0,42.0,29.0,,,,51.7857,9.0,7.0,77.778,3.0,10.0,75.0,
19,2019,,,,,,,,,,,,,,,7700.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
