,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,28.9256,14.7287,,,,,,,,,,0.0,0.0,29.8246,102830.0,29.7,,,,,60.7143,11.0,9.0,81.818,1.0,8.0,75.0,0.176
6,2006,40.9091,34.1085,,,,4020.0,0.164,5793.0,29149.0,,82.607,1.0,0.0,31.5789,96436.0,29.75,,,,,66.0714,11.0,9.0,81.818,,7.0,75.0,0.2
7,2007,57.0248,51.1628,,,,3850.0,0.17,5765.0,28391.9,19.091,67.626,1.0,0.001,56.1404,85187.0,29.23,17.0,,,,71.4286,12.0,10.0,83.333,1.0,6.0,75.0,0.099
8,2008,63.2231,66.6667,231.0,2731.0,0.483,3500.0,0.164,5649.0,29527.6,23.504,92.616,4.0,0.002,47.3684,83580.0,29.3,18.0,,,,71.4286,12.0,10.0,83.333,1.0,6.0,75.0,0.154
9,2009,72.314,76.7442,236.0,2655.0,0.52,3189.88,0.153,5110.0,35963.102,20.37,57.07,5.0,0.002,57.8947,79800.0,28.0,18.0,,,,76.7857,11.0,10.0,90.909,1.0,9.0,75.0,0.29
10,2010,73.5537,76.7442,232.0,2422.0,0.466,3120.0,0.214,5192.0,41603.602,25.76,67.978,2.0,0.027,57.8947,82500.0,28.0,14.0,,,,82.1429,10.0,9.0,90.0,1.0,10.0,75.0,0.586
11,2011,73.1405,76.7442,255.0,2455.0,0.463,3200.0,0.187,5300.0,43874.898,29.113,94.677,5.0,0.001,57.8947,100100.0,26.0,18.0,,,,80.3571,11.0,9.0,81.818,1.0,7.0,75.0,0.266
12,2012,73.9669,75.969,240.0,2571.0,0.46,3125.81,0.19,5595.19,43874.898,42.91,184.4,5.0,0.001,57.8947,105000.0,26.0,17.0,,,,85.7143,10.0,8.0,80.0,1.0,7.0,75.0,0.479
13,2013,74.7934,82.1705,254.0,2563.0,0.459,3065.28,0.173,5581.0,42777.102,48.72,149.14,7.0,0.002,57.8947,107600.0,26.0,17.8,,0.0,,75.0,10.0,8.0,80.0,1.0,11.0,75.0,4.475
14,2014,59.5041,60.4651,,,,3380.0,0.209,5820.0,46388.602,49.4,144.1,4.0,0.143,47.3684,106700.0,25.0,18.14,,,,69.6429,11.0,9.0,81.818,1.0,10.0,,3.865
15,2015,59.0909,57.3643,,,,3490.0,0.22,6320.0,49697.199,61.6,125.1,11.0,0.0,47.3684,107300.0,25.0,,,,53.6,75.0,11.0,8.0,72.727,1.0,13.0,75.0,4.629
16,2016,58.2645,57.3643,,,,3415.0,0.191,6420.0,52998.199,63.6,144.6,8.0,0.0,43.8596,106000.0,26.0,,,,77.21,75.0,11.0,9.0,81.818,1.0,11.0,75.0,0.693
17,2017,63.2231,62.7907,,,,4105.0,0.243,7310.0,57927.0,71.486,169.462,11.0,0.008,52.6316,102700.0,27.0,,,,47.64,75.0,12.0,10.0,83.333,1.0,9.0,75.0,0.015
18,2018,64.4628,62.7907,,,,4377.0,0.308,8320.0,68185.0,86.364,203.391,8.0,0.002,57.8947,107400.0,27.0,17.7,,,45.8,75.0,9.0,8.0,88.889,1.0,17.0,75.0,0.177
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
