,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,28.0992,21.7054,6.357,,,43.249,0.0,,,,,,,14.0351,8200.0,,,,,70.022,57.1429,11.0,8.0,72.727,1.0,10.0,75.0,
8,2008,33.0579,31.0078,8.038,,,45.11,0.0,,113.568,,,,,14.0351,8362.0,,,,,89.406,57.1429,11.0,7.0,63.636,1.0,7.0,75.0,
9,2009,37.1901,34.1085,8.425,,,41.694,0.0,99.0,,,,,,24.5614,8205.0,,,,,89.973,57.1429,11.0,7.0,63.636,1.0,5.0,75.0,
10,2010,26.0331,11.6279,,,,34.512,,,,,,,,24.5614,7700.0,,,,,93.709,60.7143,10.0,7.0,70.0,1.0,6.0,75.0,
11,2011,24.7934,13.9535,,,,36.211,,,,,,,,19.2982,8000.0,,,,,,55.3571,10.0,7.0,70.0,1.0,5.0,75.0,
12,2012,26.0331,16.2791,,,,39.153,,,,,,,,19.2982,8500.0,,,,,,55.3571,9.0,6.0,66.667,1.0,4.0,75.0,
13,2013,28.9256,17.0543,,,,38.057,,,,,,,,24.5614,8000.0,,,,,,60.7143,9.0,6.0,66.667,1.0,5.0,75.0,0.117
14,2014,27.686,17.0543,,,,35.342,,,,,,,,24.5614,8000.0,,,,,,55.3571,9.0,6.0,66.667,1.0,4.0,75.0,
15,2015,30.5785,22.4806,,,,27.374,,,,,0.641,,,24.5614,7700.0,,,,,,55.3571,9.0,6.0,66.667,1.0,6.0,75.0,
16,2016,27.686,12.4031,,,,,,,,,,,,35.0877,7900.0,39.0,32.0,,,,55.3571,9.0,7.0,77.778,1.0,5.0,75.0,
17,2017,34.7107,23.2558,,,,12.858,,,,,,,,40.3509,8200.0,39.0,32.0,,,2.5,55.3571,10.0,8.0,80.0,1.0,4.0,74.83,
18,2018,36.7769,23.2558,,,,9.667,,,,,,,,43.8596,8900.0,39.0,35.0,,,2.7,60.7143,10.0,8.0,80.0,1.0,4.0,75.0,
19,2019,33.0579,16.2791,,,,,,,,,,,,43.8596,9400.0,39.0,,,,2.5,60.7143,11.0,8.0,72.727,1.0,6.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
