,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,28.9256,20.155,,,,,,,,,,,,22.807,51500.0,,,,,,55.3571,11.0,10.0,90.909,3.0,9.0,99.0,
8,2008,38.843,38.7597,,,,15916.1,31.557,,,0.021,1902.91,,,22.807,61700.0,,,,,,55.3571,11.0,10.0,90.909,1.0,10.0,96.0,
9,2009,30.9917,21.7054,,,,,,,,,,,,28.0702,56100.0,,,,,,55.3571,10.0,9.0,90.0,1.0,10.0,97.0,
10,2010,44.2149,40.3101,,,,15000.0,48.936,,1061680.0,,2380.8,,,36.8421,59500.0,24.0,,,3.0,,60.7143,10.0,9.0,90.0,1.0,10.0,92.0,
11,2011,52.0661,49.6124,,,,16285.9,43.81,147451.0,943454.0,,2823.75,,,43.8596,61519.0,24.0,,52.0,,,66.0714,12.0,11.0,91.667,1.0,16.0,92.0,
12,2012,53.3058,49.6124,,,,14900.0,38.63,147653.0,952302.0,,2861.8,,,49.1228,69954.0,23.0,,56.0,2.0,12.3,66.0714,10.0,9.0,90.0,1.0,13.0,90.0,
13,2013,54.1322,49.6124,,,,14300.0,37.94,149161.0,946959.0,,2871.4,,,49.1228,69000.0,22.0,,45.0,3.0,11.9,69.6429,11.0,10.0,90.909,1.0,9.0,96.0,
14,2014,54.9587,52.7132,,,,13500.0,36.52,140553.0,886328.0,,2450.3,0.0,0.0,49.1228,58000.0,18.0,,28.0,4.0,10.0,66.0714,13.0,11.0,84.615,1.0,11.0,95.0,
15,2015,57.0248,54.2636,,,,13500.0,35.91,140518.0,902907.0,,2558.6,0.0,0.0,54.386,55000.0,18.0,,28.0,4.0,15.5,66.0714,12.0,11.0,91.667,1.0,10.0,95.0,
16,2016,46.6942,34.8837,,,,13600.0,,,,,,0.0,0.0,54.386,55000.0,19.61,21.4,27.0,,17.3,66.0714,12.0,11.0,91.667,1.0,9.0,98.0,0.0
17,2017,43.8017,31.7829,,,,13660.0,,,,,,,,49.1228,56000.0,18.0,,14.0,,19.3,66.0714,15.0,14.0,93.333,1.0,11.0,94.0,0.043
18,2018,43.8017,31.7829,,,,12500.0,,,,,,,,49.1228,53000.0,17.0,,21.0,0.0,21.0,66.0714,12.0,11.0,91.667,1.0,9.0,98.0,0.041
19,2019,,,,,,,,,,,,,,,51000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
