,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,43000.0,,,,,,51.7857,11.0,9.0,81.818,1.0,6.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,45000.0,,,,,,51.7857,10.0,8.0,80.0,1.0,9.0,75.0,
9,2009,13.6364,,,,,,,,,,,,,3.5088,40000.0,,,,,,55.3571,10.0,8.0,80.0,1.0,7.0,75.0,
10,2010,20.2479,11.6279,,,,,,,,,,,,8.7719,41000.0,56.0,,,,,51.7857,9.0,8.0,88.889,1.0,7.0,75.0,
11,2011,22.314,11.6279,,,,,,,,,,,,8.7719,42000.0,,,,,,60.7143,10.0,9.0,90.0,1.0,8.0,75.0,0.0
12,2012,21.4876,11.6279,,,,,,,,,,,,14.0351,43300.0,,,,,,51.7857,9.0,8.0,88.889,1.0,7.0,75.0,
13,2013,22.7273,13.9535,,,,,,,,,,,,14.0351,45400.0,,,,,,51.7857,9.0,8.0,88.889,1.0,6.0,75.0,
14,2014,30.5785,22.4806,,,,14.085,,,,,,,,22.807,47400.0,,,,,,57.1429,9.0,8.0,88.889,1.0,13.0,75.0,
15,2015,38.843,28.6822,,,,15.402,,43.869,,,,,,43.8596,49200.0,54.0,,,,,57.1429,10.0,9.0,90.0,1.0,11.0,75.0,
16,2016,38.0165,27.1318,,,,23.209,,67.181,,,,,,43.8596,49800.0,54.0,,,,,57.1429,10.0,9.0,90.0,1.0,7.0,75.0,
17,2017,38.843,27.1318,,,,28.236,,86.947,,,,,,43.8596,50200.0,54.0,,,,,60.7143,10.0,9.0,90.0,1.0,7.0,75.0,
18,2018,33.8843,15.5039,,,,,,,,,,,,49.1228,54000.0,55.0,43.09,,,,60.7143,11.0,10.0,90.909,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
