,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,20.6612,4.6512,,,,,,,,,,,,17.5439,43000.0,,,,,0.172,60.7143,10.0,8.0,80.0,1.0,6.0,90.0,
7,2007,33.4711,25.5814,,,,1357.33,,2282.62,5854.0,2.37,52.57,,,24.5614,35560.0,,,,,0.182,60.7143,11.0,9.0,81.818,1.0,10.0,75.0,
8,2008,37.6033,30.2326,,,,1505.909,,2151.492,7218.0,2.21,52.812,,,31.5789,60900.0,,,,,,60.7143,13.0,11.0,84.62,1.0,6.0,85.0,
9,2009,42.562,37.2093,,,,1105.98,,1859.84,4861.0,2.12,41.02,,0.009,31.5789,57000.0,,,,2.0,,66.0714,12.0,10.0,83.333,1.0,7.0,85.0,
10,2010,42.1488,34.8837,,,,810.0,,1591.72,4845.55,,,0.0,0.0,35.0877,59000.0,,,,1.0,,66.0714,12.0,11.0,91.667,1.0,6.0,83.0,
11,2011,55.3719,48.062,,,,745.0,,1366.22,4731.98,1.823,13.804,3.0,0.022,52.6316,52000.0,24.0,,238.0,1.0,4.4,75.0,11.0,10.0,90.909,1.0,6.0,95.0,
12,2012,51.2397,43.4109,,,,710.0,,1289.78,4845.55,1.467,11.32,2.0,0.01,49.1228,49000.0,24.0,,,,2.9,71.4286,12.0,11.0,91.667,1.0,11.0,92.0,
13,2013,56.6116,48.8372,,,,697.635,,1007.77,3705.92,0.966,30.205,0.0,0.0,54.386,42000.0,22.9,,380.0,,4.2,76.7857,12.0,11.0,91.667,1.0,7.0,95.0,
14,2014,,,,,,657.643,,926.372,4011.38,0.954,31.36,0.0,0.0,,43000.0,,,381.0,0.0,,,11.0,10.0,90.909,1.0,6.0,95.0,
15,2015,50.0,41.8605,,,,661.356,,1013.23,4198.0,1.226,32.227,,,49.1228,44668.0,21.76,,344.0,0.0,,69.6429,12.0,11.0,91.667,1.0,6.0,95.0,
16,2016,49.5868,45.7364,,,,602.075,0.113,988.889,3300.0,1.171,35.797,,,38.5965,42034.0,22.28,,,0.0,,69.6429,12.0,11.0,91.667,1.0,6.0,94.0,
17,2017,52.8926,48.062,,,,563.322,0.115,979.444,3390.0,1.3439999999999999,37.153,,,47.3684,43265.0,22.76,,,0.0,0.227,69.6429,10.0,9.0,90.0,1.0,6.0,75.0,
18,2018,52.4793,49.6124,,,,536.784,0.115,1001.11,3200.0,1.593,42.522,,,47.3684,44664.0,23.1,,,1.0,0.254,64.2857,12.0,11.0,91.667,1.0,,75.0,
19,2019,,,,,,,,,,,,,,,50000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
