,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,20100.0,,,,,,51.7857,8.0,6.0,75.0,1.0,6.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,21000.0,,,,,,51.7857,9.0,6.0,66.67,1.0,6.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,20100.0,,,,,,51.7857,10.0,7.0,70.0,1.0,4.0,95.0,
10,2010,12.8099,,,,,,,,,,,,,3.5088,19400.0,,,,,,51.7857,12.0,9.0,75.0,1.0,7.0,75.0,
11,2011,,,,,,,,,,,,,,,17000.0,,,,,,,12.0,10.0,83.333,1.0,17.0,75.0,
12,2012,,,,,,275.96,,515.992,,,,,,,17500.0,,,,,,,12.0,11.0,91.667,1.0,10.0,75.0,
13,2013,35.124,26.3566,119.1,,,292.704,,525.366,,,,,,22.807,19500.0,,,,,,67.8571,12.0,11.0,91.667,1.0,7.0,75.0,
14,2014,29.7521,23.2558,131.556,,,307.203,,550.564,,,,,,22.807,20000.0,,,,,,51.7857,11.0,11.0,100.0,1.0,11.0,,
15,2015,33.8843,24.031,,,,260.881,,781.566,,,,,,28.0702,20000.0,,,,,,62.5,10.0,9.0,90.0,1.0,13.0,75.0,
16,2016,42.9752,32.5581,,,,327.057,,972.672,,,1842.46,,,54.386,24000.0,25.78,26.09,,,0.594,55.3571,12.0,11.0,91.667,1.0,10.0,,
17,2017,42.1488,31.0078,,,,333.68,,942.837,,,,,,43.8596,24000.0,,,,,0.677,66.0714,11.0,10.0,90.909,1.0,8.0,75.0,
18,2018,42.9752,32.5581,,,,545.172,,1462.18,,,,,,43.8596,26200.0,,,,,0.675,66.0714,12.0,11.0,91.667,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,25000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
