,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,12.8099,,,,,,,,,,,,,3.5088,50000.0,,,,,,51.7857,10.0,9.0,90.0,1.0,5.0,88.0,
6,2006,12.8099,,,,,,,,,,,,,3.5088,55000.0,,,,,,51.7857,10.0,9.0,90.0,1.0,5.0,89.0,
7,2007,,,,,,,,,,,,,,,60000.0,,,,,,,10.0,9.0,90.0,1.0,6.0,75.0,
8,2008,25.2066,18.6047,,,,4522.4,,,,,,,,14.0351,65000.0,,,,,,51.7857,10.0,9.0,90.0,1.0,6.0,75.0,
9,2009,23.5537,11.6279,,,,,,,,,,,,22.807,59000.0,,,,,7.675,51.7857,11.0,10.0,90.91,1.0,7.0,75.0,
10,2010,33.4711,30.2326,,,,1120.0,,3110.0,,10.0,170.0,,0.043,22.807,61000.0,,,,0.0,20.685,51.7857,11.0,10.0,90.909,1.0,5.0,75.0,
11,2011,35.5372,34.1085,,,,990.0,,2710.0,,20.0,160.0,,0.007,22.807,65000.0,,,,0.0,24.298,51.7857,10.0,9.0,90.0,1.0,7.0,75.0,
12,2012,27.686,19.3798,,,,591.054,,1955.25,,,148.642,,0.046,22.807,60000.0,,,,0.0,93.098,51.7857,12.0,11.0,91.667,1.0,8.0,75.0,
13,2013,31.8182,24.8062,,,,608.366,,1462.15,,,114.767,,0.121,28.0702,51000.0,,19.0,,0.0,,51.7857,12.0,11.0,91.667,1.0,5.0,75.0,
14,2014,32.6446,27.1318,,,,607.269,,1475.22,,6.839,99.285,,0.128,22.807,49000.0,,20.0,,,,55.3571,13.0,12.0,92.308,1.0,5.0,75.0,
15,2015,35.9504,33.3333,,,,585.055,,1384.19,,6.632,82.603,,0.006,22.807,48000.0,,21.0,,,,55.3571,11.0,10.0,90.909,1.0,5.0,75.0,
16,2016,36.3636,31.7829,,,,589.231,,1379.63,,6.754,89.252,,0.009,28.0702,50000.0,,23.0,,,,55.3571,12.0,11.0,91.667,1.0,5.0,100.0,
17,2017,47.5207,45.7364,,,,658.949,,1598.38,3027.69,7.198,96.454,,0.068,38.5965,50000.0,,24.0,,0.0,5.2,60.7143,11.0,10.0,90.909,1.0,5.0,75.0,
18,2018,48.7603,48.062,,,,674.833,,1596.71,3089.6,7.086,97.078,,0.034,38.5965,48000.0,,26.0,,0.0,5.0,60.7143,11.0,10.0,90.909,1.0,5.0,100.0,
19,2019,,,,,,,,,,,,,,,45000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
