,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,17.3554,4.6512,,,,,,,,,,,,12.2807,43700.0,,,,,,51.7857,11.0,10.0,90.909,3.0,9.0,75.0,
9,2009,26.4463,12.4031,,,,,,,,,,0.0,0.0,28.0702,38900.0,25.0,,,,,57.1429,12.0,10.0,83.333,3.0,6.0,75.0,
10,2010,29.7521,13.9535,,,,,,,,,,0.0,0.0,38.5965,38500.0,25.0,,,,1.08,57.1429,11.0,9.0,81.818,3.0,9.0,75.0,
11,2011,30.5785,13.9535,,,,,,,,,,0.0,0.0,42.1053,45700.0,24.0,,,,1.1,57.1429,11.0,9.0,81.818,3.0,8.0,75.0,
12,2012,28.0992,11.6279,,,,,,,,,,0.0,0.0,36.8421,48600.0,24.0,,,,1.9,57.1429,10.0,8.0,80.0,3.0,6.0,75.0,
13,2013,28.5124,11.6279,,,,,,,,,,0.0,0.0,38.5965,49400.0,21.0,,,,1.19,57.1429,11.0,10.0,90.909,3.0,7.0,75.0,
14,2014,31.8182,17.8295,,,,,,,,,,,,38.5965,67498.0,21.0,,,,,57.1429,11.0,9.0,81.818,3.0,7.0,75.0,
15,2015,31.8182,17.8295,,,,,,,,,,,,38.5965,63348.0,19.8,,,,,57.1429,12.0,10.0,83.333,3.0,9.0,75.0,
16,2016,30.5785,17.8295,,,,,,,,,,,,33.3333,57725.0,19.3,,,,,57.1429,11.0,9.0,81.818,1.0,7.0,75.0,
17,2017,26.8595,17.8295,,,,,,,,,,,,22.807,54700.0,,,,,,51.7857,10.0,9.0,90.0,1.0,13.0,97.0,
18,2018,18.595,3.876,,,,,,,,,,,,19.2982,74400.0,,,,,,51.7857,11.0,10.0,90.909,1.0,5.0,99.0,
19,2019,28.0992,17.0543,,,,66.346,,,,,,,,29.8246,52000.0,,,104.0,0.0,2.7,51.7857,11.0,10.0,90.909,1.0,11.0,97.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
