,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,16.5289,2.3256,,,,,,,,,,,,14.0351,14667.0,,,,,,51.7857,9.0,6.0,66.667,3.0,5.0,75.0,
9,2009,16.5289,2.3256,,,,,,,,,,,,14.0351,14171.0,,,,,,51.7857,9.0,6.0,66.667,1.0,4.0,75.0,
10,2010,17.3554,2.3256,,,,,,,,,,,,14.0351,15223.0,,,,,,55.3571,10.0,6.0,60.0,1.0,4.0,75.0,
11,2011,17.3554,2.3256,,,,,,,,,,,,14.0351,15631.0,,,,,,55.3571,12.0,8.0,66.667,1.0,4.0,75.0,
12,2012,17.3554,2.3256,,,,,,,,,,,,14.0351,16475.0,,,,,,55.3571,11.0,7.0,63.636,1.0,5.0,75.0,
13,2013,17.3554,2.3256,,,,,,,,,,,,14.0351,18467.0,,,,,,55.3571,11.0,7.0,63.636,1.0,4.0,100.0,
14,2014,17.3554,2.3256,,,,,,,,,,,,14.0351,20158.0,,,,,,55.3571,11.0,7.0,63.636,1.0,4.0,100.0,
15,2015,18.595,2.3256,,,,,,,,,,,,19.2982,21562.0,,,,,,55.3571,11.0,7.0,63.636,1.0,4.0,100.0,
16,2016,18.595,2.3256,,,,,,,,,,,,19.2982,22190.0,,,,,,55.3571,10.0,6.0,60.0,1.0,4.0,100.0,
17,2017,19.8347,4.6512,,,,,,,,,,,,19.2982,24681.0,,,,,,55.3571,10.0,6.0,60.0,1.0,4.0,100.0,
18,2018,19.8347,4.6512,,,,,,,,,,,,19.2982,27621.0,,,,,,55.3571,10.0,6.0,60.0,1.0,4.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
