,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,16.1157,,,,,,,,,,,,,14.0351,238200.0,,,,,,55.3571,10.0,10.0,100.0,1.0,15.0,75.0,
7,2007,29.3388,15.5039,,,,,,,,,,,0.026,29.8246,118000.0,,,,,,60.7143,10.0,9.0,90.0,1.0,11.0,75.0,
8,2008,29.3388,15.5039,,,,,,,,,,,0.04,29.8246,113000.0,,,,,,60.7143,11.0,10.0,90.909,1.0,9.0,75.0,
9,2009,33.8843,22.4806,,,,,,,2700.0,,30.0,,0.066,33.3333,106000.0,,,,,,60.7143,11.0,10.0,90.909,1.0,10.0,75.0,
10,2010,31.8182,20.9302,,,,655.0,,,2200.0,,31.8,,,33.3333,108000.0,,,,,,55.3571,11.0,10.0,90.909,1.0,9.0,74.9,
11,2011,32.6446,24.031,,,,290.0,,,1760.0,,27.1,9.0,0.057,29.8246,102000.0,,,,,,55.3571,12.0,11.0,91.667,1.0,15.0,75.0,
12,2012,33.8843,24.031,,,,303.49,,,1566.4,,8.938,4.0,0.024,35.0877,70000.0,,,,,,55.3571,12.0,11.0,91.667,1.0,12.0,75.0,
13,2013,33.0579,22.4806,,,,335.269,,,370.278,,9.204,,0.001,35.0877,70000.0,,,,,,55.3571,10.0,8.0,80.0,1.0,7.0,85.0,
14,2014,33.0579,22.4806,,,,323.455,,,295.905,,9.001,,0.005,35.0877,57000.0,,,,,,55.3571,11.0,9.0,81.818,1.0,10.0,90.0,
15,2015,52.0661,55.814,,,,2504.55,0.553,5590.32,8165.75,215.651,508.486,11.0,0.04,40.3509,139000.0,,,,,,55.3571,11.0,9.0,81.818,1.0,6.0,80.0,
16,2016,58.2645,51.938,,,,,0.452,5532.02,8508.61,243.037,511.654,26.0,0.332,59.6491,144781.0,29.235,,,,0.5,71.4286,11.0,9.0,81.818,1.0,7.0,90.0,0.0
17,2017,64.4628,63.5659,,,,2387.77,0.382,5299.87,7320.92,205.53,348.518,30.0,0.041,59.6491,118589.0,29.0,,,,1.236,71.4286,10.0,9.0,90.0,1.0,6.0,89.33,0.0
18,2018,63.6364,64.3411,,,,2347.59,0.454,5744.06,7687.04,231.26,383.753,15.0,0.009,54.386,120212.0,22.0,,,,0.614,71.4286,12.0,11.0,91.667,1.0,4.0,89.0,0.0
19,2019,,,,,,,,,,,,,,,104000.0,,,,,,,12.0,11.0,91.667,1.0,4.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
