,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,21.0744,9.3023,,,,,,3495.95,11200.0,35.2,95.2,,,14.0351,115600.0,,,,,591.9,55.3571,12.0,9.0,75.0,1.0,11.0,75.0,
6,2006,42.1488,37.9845,341.0,1278.0,0.336,,,3798.48,13000.0,38.9,90.7,11.0,0.006,33.3333,122200.0,,,,2.0,544.8,60.7143,13.0,10.0,76.923,1.0,10.0,75.0,
7,2007,52.4793,54.2636,344.396,1290.83,0.335,,,3848.36,11700.0,34.2,88.2,13.0,0.031,47.3684,119200.0,,,1111.0,0.0,509.9,53.5714,12.0,10.0,83.333,1.0,7.0,75.0,
8,2008,55.3719,55.814,357.247,1306.94,0.334,,,3915.81,11500.0,29.4,83.4,20.0,0.164,43.8596,118700.0,,,1013.0,0.0,510.3,66.0714,11.0,9.0,81.818,1.0,9.0,75.0,1.108
9,2009,56.1983,57.3643,337.0,1277.0,0.34,,,3757.75,10800.0,24.6,67.2,50.0,0.007,43.8596,115500.0,,,902.0,1.0,588.1,66.0714,11.0,10.0,90.909,1.0,9.0,72.7,1.1
10,2010,59.0909,60.4651,349.0,1283.0,0.335,,,3830.29,11500.0,27.2,85.5,57.0,0.0,43.8596,114000.0,,,884.0,1.0,603.3,71.4286,11.0,10.0,90.909,1.0,9.0,75.0,1.225
11,2011,61.157,64.3411,330.0,1222.0,0.331,,,3695.63,11300.0,29.7,77.4,30.0,0.005,43.8596,117900.0,,,857.0,0.0,706.1,71.4286,12.0,11.0,91.667,1.0,12.0,75.0,0.757
12,2012,53.719,55.0388,330.0,1184.0,0.319,,,3708.61,11300.0,29.1,157.3,29.0,0.004,38.5965,127600.0,,,,,966.3,66.0714,13.0,12.0,92.308,1.0,9.0,75.0,
13,2013,56.6116,58.1395,351.0,1197.0,0.318,,,3766.39,11930.0,51.102,167.419,45.0,0.0,43.8596,128100.0,46.5,,,,993.0,66.0714,13.0,12.0,92.308,1.0,8.0,75.0,
14,2014,57.0248,58.9147,321.0,1096.0,0.313,,0.289,3501.39,11760.0,46.618,173.1,72.0,0.416,43.8596,126500.0,45.4,,,2.0,1080.4,66.0714,13.0,12.0,92.308,1.0,7.0,75.0,
15,2015,58.6777,62.0155,312.0,1115.0,0.297,,0.252,3758.33,11874.4,54.638,171.67,77.0,0.004,43.8596,127100.0,45.4,,,0.0,1040.0,66.0714,12.0,11.0,91.667,1.0,10.0,75.0,
16,2016,58.2645,61.2403,,,,1157.88,0.292,3773.06,11590.0,52.392,177.918,144.0,0.0,43.8596,126400.0,46.0,,,0.0,1194.0,66.0714,10.0,9.0,90.0,1.0,10.0,75.0,
17,2017,58.6777,62.0155,,,,1124.19,0.29,3523.61,12410.0,51.702,189.434,64.0,0.0,43.8596,134000.0,46.5,,,0.0,1469.0,66.0714,10.0,9.0,90.0,1.0,9.0,75.0,
18,2018,61.9835,62.0155,,,,1125.38,0.288,3668.89,12480.0,52.672,196.307,44.0,0.002,57.8947,140861.0,47.05,45.3,,2.0,1612.0,66.0714,11.0,10.0,90.909,1.0,9.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
