,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,12.8099,,,,,,,,,,,,,3.5088,4833.0,,,,,,51.7857,9.0,7.0,77.778,3.0,14.0,75.0,
7,2007,21.4876,16.2791,,,,38.255,,,,,,,,3.5088,5879.0,,,,,,51.7857,10.0,8.0,80.0,3.0,7.0,75.0,
8,2008,21.4876,16.2791,,,,55.655,,,,,,,,3.5088,7014.0,,,,,,51.7857,9.0,6.0,66.667,3.0,7.0,75.0,
9,2009,31.405,24.031,,,,66.12,,,,,,,,22.807,7213.0,,,,,,57.1429,9.0,6.0,66.667,3.0,10.0,75.0,
10,2010,32.2314,25.5814,,,,79.58,,,,,,,,22.807,8772.0,,,,,,57.1429,10.0,7.0,70.0,3.0,9.0,75.0,
11,2011,27.686,17.0543,,,,92.865,,,,,,,,22.807,9129.0,,,,,,57.1429,11.0,8.0,72.727,3.0,6.0,75.0,
12,2012,31.8182,24.8062,,,,114.379,,238.705,,,,,,22.807,9234.0,,,,,,57.1429,10.0,7.0,70.0,3.0,6.0,75.0,
13,2013,25.2066,14.7287,,,,,,,,,,,,22.807,9483.0,,,,,,51.7857,10.0,8.0,80.0,1.0,10.0,75.0,
14,2014,23.9669,14.7287,,,,,,,,,,,,22.807,8806.0,,,,,,46.4286,11.0,9.0,81.818,1.0,19.0,,
15,2015,32.2314,25.5814,,,,,,,179.0,,,,,22.807,9058.0,,,,0.0,,57.1429,10.0,7.0,70.0,1.0,8.0,75.0,
16,2016,32.2314,25.5814,,,,,,,790.0,,,,,22.807,9832.0,,,,0.0,,57.1429,10.0,8.0,80.0,1.0,4.0,75.0,
17,2017,35.9504,25.5814,,,,,,,850.0,,,,,38.5965,9381.0,,,,0.0,,57.1429,9.0,8.0,88.889,1.0,9.0,75.0,
18,2018,35.5372,25.5814,,,,,,,797.0,,,,,36.8421,9283.0,,,,0.0,0.3,57.1429,9.0,8.0,88.889,1.0,10.0,75.0,
19,2019,,,,,,,,,,,,,,,9419.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
